Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91963, 93283, 5, 130, 128, 127, 2, 0, 0.05863342566943675, 0: 2070, 1: 65, 2: 31
600-1200, 94492, 95557, 2, 129, 128, 126, 2, 0, 0.09860557768924302, 0: 920, 1: 69, 2: 15
1200-1800, 92478, 99265, 5, 101, 99, 94, 4, 0, 0.14996520528879612, 0: 2466, 1: 390, 2: 14, 3: 3, 4: 1
1800-2400, 96957, 105696, 5, 92, 89, 83, 5, 0, 0.2345298392424576, 0: 3726, 1: 623, 2: 149, 3: 34, 4: 3, 5: 6
2400-3000, 96692, 103902, 8, 88, 82, 80, 5, 0, 0.5311424100156494, 0: 4155, 1: 1416, 2: 530, 3: 242, 4: 43, 5: 4
3000-3600, 100903, 110085, 12, 75, 69, 67, 5, 0, 0.5116742596810934, 0: 4437, 1: 1834, 2: 546, 3: 164, 4: 39, 5: 4
3600-4200, 105288, 119554, 11, 74, 68, 66, 7, 0, 0.7892784032753326, 0: 4078, 1: 2105, 2: 1074, 3: 392, 4: 112, 5: 40, 6: 13, 7: 2
4200-4800, 102260, 123186, 14, 69, 61, 57, 14, 0, 1.5445364389045584, 0: 4606, 1: 2387, 2: 1377, 3: 709, 4: 822, 5: 676, 6: 147, 7: 160, 8: 17, 9: 60, 10: 5, 11: 6, 12: 9, 13: 2, 14: 8
4800-5400, 117416, 136954, 11, 81, 67, 66, 11, 0, 1.1037376708773143, 0: 4866, 1: 3565, 2: 1372, 3: 1218, 4: 239, 5: 155, 6: 52, 7: 15, 8: 43, 9: 29, 10: 3, 11: 1
5400-6000, 120099, 173756, 15, 91, 78, 64, 8, 0, 1.1449814126394051, 0: 5488, 1: 2520, 2: 1877, 3: 1192, 4: 368, 5: 184, 6: 144, 7: 58, 8: 5
6000-6600, 120050, 175272, 15, 80, 55, 53, 14, 0, 2.0676488643339472, 0: 5410, 1: 3836, 2: 1879, 3: 1202, 4: 1120, 5: 1286, 6: 672, 7: 315, 8: 205, 9: 123, 10: 128, 11: 85, 12: 6, 13: 21, 14: 2
6600-7200, 135677, 182093, 13, 80, 60, 57, 22, 0, 3.2387400476550243, 0: 3075, 1: 2594, 2: 4029, 3: 1668, 4: 1437, 5: 670, 6: 1115, 7: 789, 8: 412, 9: 351, 10: 458, 11: 272, 12: 36, 13: 127, 14: 101, 15: 27, 16: 12, 17: 3, 18: 20, 19: 1, 20: 1, 21: 7, 22: 2
7200-7800, 150274, 283927, 16, 129, 107, 69, 23, 0, 4.171663405088062, 0: 1684, 1: 3213, 2: 1379, 3: 1139, 4: 895, 5: 499, 6: 658, 7: 693, 8: 852, 9: 185, 10: 209, 11: 159, 12: 471, 13: 319, 14: 147, 15: 34, 16: 30, 17: 28, 18: 81, 19: 84, 20: 8, 21: 4, 22: 2, 23: 2
7800-8400, 172623, 227716, 17, 99, 81, 78, 22, 0, 3.5296755258437957, 0: 2516, 1: 2995, 2: 1285, 3: 765, 4: 994, 5: 1040, 6: 272, 7: 435, 8: 281, 9: 357, 10: 598, 11: 274, 12: 8, 13: 42, 14: 157, 15: 3, 16: 132, 17: 26, 18: 6, 19: 28, 20: 46, 21: 4, 22: 2
