Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90490.0, 91029.0, 1.0, 157.0, 0.0, 155.0, 1.0, 0.0, 0.011399787910922587, 18600.0, 36300.0, 54600.0, 73200.0, 90900.0
600-1200, 90845.5, 91499.5, 3.0, 118.5, 117.5, 116.5, 1.5, 0.0, 0.04810229472130554, 19800.0, 38700.0, 56100.0, 73500.0, 91200.0
1200-1800, 94306.5, 97563.0, 7.0, 83.5, 80.5, 79.5, 2.5, 0.0, 0.12226308717863149, 25800.0, 40800.0, 59400.0, 83400.0, 97200.0
1800-2400, 97724.5, 113064.0, 7.0, 75.5, 71.0, 65.5, 4.5, 0.0, 0.4668597516521238, 32100.0, 54000.0, 66600.0, 41400.0, 112800.0
2400-3000, 104587.0, 131293.0, 10.0, 70.0, 63.0, 55.0, 6.0, 0.0, 0.7917694491382832, 23400.0, 25800.0, 74700.0, 0.0, 131100.0
3000-3600, 110885.5, 141245.5, 14.5, 69.0, 61.0, 53.0, 9.0, 0.0, 1.223945748399517, 0.0, 33000.0, 87600.0, 50400.0, 141000.0
3600-4200, 115622.5, 172650.0, 12.0, 73.5, 61.0, 48.5, 10.5, 0.0, 1.4587810002385146, 0.0, 34800.0, 0.0, 0.0, 172800.0
4200-4800, 127992.5, 186259.0, 18.5, 73.5, 63.0, 51.0, 15.5, 0.0, 1.8584971700728738, 0.0, 0.0, 53100.0, 0.0, 186000.0
4800-5400, 133230.0, 185780.5, 19.5, 70.5, 52.5, 49.0, 17.5, 0.0, 2.9252515974104383, 0.0, 0.0, 0.0, 0.0, 185700.0
5400-6000, 152207.0, 245716.0, 20.0, 84.0, 65.0, 53.0, 20.5, 0.0, 2.8987823403670463, 56700.0, 0.0, 0.0, 89700.0, 245400.0
6000-6600, 161764.0, 273164.0, 20.0, 90.0, 69.0, 52.5, 25.5, 0.0, 3.864966323314289, 111000.0, 0.0, 0.0, 0.0, 273000.0
6600-7200, 193778.5, 317088.0, 24.0, 97.0, 66.0, 57.5, 28.0, 0.0, 3.7987578212397377, 82500.0, 0.0, 93300.0, 0.0, 316800.0
7200-7800, 242520.5, 410145.0, 25.0, 121.5, 88.0, 74.0, 38.0, 0.0, 5.855944239675958, 0.0, 0.0, 0.0, 367200.0, 409800.0
7800-8400, 288291.0, 532653.0, 22.5, 149.0, 108.0, 81.5, 43.5, 0.0, 5.81383805933228, 0.0, 0.0, 0.0, 152400.0, 532500.0
