Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90281.0, 90577.0, 1.0, 191.0, 0.0, 189.0, 2.0, 0.0, 0.090449265202094, 18900.0, 36600.0, 54900.0, 72600.0, 90000.0
600-1200, 91322.0, 92411.0, 4.5, 161.0, 160.0, 158.5, 3.0, 0.0, 0.2226337448559671, 19800.0, 37200.0, 55800.0, 74400.0, 92100.0
1200-1800, 93769.0, 99827.0, 6.5, 121.5, 118.5, 113.0, 4.5, 0.0, 0.4485228978149709, 25800.0, 43200.0, 62100.0, 80100.0, 99300.0
1800-2400, 96904.5, 104925.0, 7.5, 100.5, 95.0, 90.0, 7.5, 0.0, 0.9299115381288763, 31500.0, 49200.0, 36000.0, 81600.0, 104700.0
2400-3000, 104657.5, 121880.5, 11.0, 105.0, 94.0, 88.5, 13.0, 0.0, 1.6476925086486, 20400.0, 60600.0, 72900.0, 50400.0, 121500.0
3000-3600, 112732.0, 155535.0, 11.5, 121.5, 108.5, 89.0, 15.5, 0.0, 2.0112062232467793, 0.0, 33300.0, 84900.0, 51600.0, 155400.0
3600-4200, 119004.0, 154262.5, 12.0, 104.0, 84.5, 79.5, 21.5, 0.0, 3.0429533052162183, 0.0, 0.0, 57000.0, 0.0, 153900.0
4200-4800, 135468.0, 229222.5, 15.0, 152.0, 120.5, 90.5, 30.0, 0.0, 3.912684278374444, 0.0, 0.0, 59100.0, 0.0, 228900.0
4800-5400, 156373.0, 244624.5, 13.5, 151.5, 130.0, 91.5, 37.5, 0.0, 5.949336939510439, 0.0, 57000.0, 0.0, 0.0, 244500.0
5400-6000, 161688.0, 225455.5, 16.0, 140.5, 105.5, 96.5, 39.0, 0.0, 8.306325737765285, 0.0, 57000.0, 76800.0, 0.0, 225000.0
6000-6600, 164873.0, 268757.0, 17.0, 161.5, 121.0, 99.0, 58.5, 0.0, 8.16593708802051, 0.0, 0.0, 111300.0, 0.0, 268200.0
6600-7200, 248829.5, 340445.5, 17.5, 192.5, 150.0, 139.0, 51.0, 0.0, 10.112118312725675, 146400.0, 93000.0, 107400.0, 111000.0, 339900.0
7200-7800, 246027.0, 475993.5, 18.0, 259.5, 171.0, 142.5, 85.0, 0.0, 11.451595836885382, 72000.0, 0.0, 0.0, 131400.0, 475800.0
7800-8400, 244571.5, 428358.0, 15.5, 235.5, 176.5, 136.5, 93.0, 0.0, 14.859303680816325, 90900.0, 0.0, 0.0, 164100.0, 428100.0
