Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90722.5, 91026.5, 1.0, 183.5, 0.0, 182.0, 1.5, 0.0, 0.10147709791183693, 19200.0, 36600.0, 54900.0, 72600.0, 90600.0
600-1200, 91581.0, 92578.0, 3.5, 142.5, 141.0, 139.5, 2.0, 0.0, 0.09081920355928039, 19200.0, 37800.0, 56400.0, 75000.0, 92100.0
1200-1800, 93992.5, 97500.0, 7.5, 101.0, 98.0, 96.0, 3.5, 0.0, 0.14250528981036534, 26100.0, 44400.0, 60300.0, 76800.0, 96900.0
1800-2400, 98899.5, 104068.5, 10.5, 82.0, 78.0, 76.5, 4.5, 0.0, 0.5151305862135264, 29400.0, 48600.0, 71400.0, 85200.0, 103800.0
2400-3000, 103297.5, 117384.5, 12.0, 78.5, 72.0, 67.5, 8.0, 0.0, 1.033347892968652, 41100.0, 26400.0, 0.0, 0.0, 117000.0
3000-3600, 107776.0, 129237.5, 14.0, 80.5, 69.0, 66.5, 10.5, 0.0, 1.356203994293518, 23100.0, 31800.0, 40500.0, 102900.0, 129000.0
3600-4200, 113668.5, 138157.5, 15.0, 77.0, 64.0, 62.0, 13.5, 0.0, 2.0706638277321336, 28500.0, 0.0, 54600.0, 118500.0, 138000.0
4200-4800, 130851.5, 224314.5, 19.5, 109.5, 95.5, 64.5, 15.5, 0.0, 2.0668835730440875, 27900.0, 0.0, 72900.0, 0.0, 223800.0
4800-5400, 138120.5, 258585.0, 22.5, 123.5, 105.0, 67.5, 18.0, 0.0, 2.72086291847649, 0.0, 0.0, 0.0, 63600.0, 258000.0
5400-6000, 140762.5, 210806.5, 18.5, 90.5, 67.0, 60.0, 24.0, 0.0, 3.5567426455180815, 0.0, 0.0, 69900.0, 0.0, 210300.0
6000-6600, 174086.0, 311654.0, 24.0, 134.0, 103.5, 76.0, 33.5, 0.0, 3.3662380738015574, 42300.0, 0.0, 0.0, 94500.0, 311400.0
6600-7200, 183744.5, 388759.0, 28.0, 153.0, 105.0, 71.0, 43.5, 0.0, 4.589798696214007, 0.0, 0.0, 0.0, 0.0, 388500.0
7200-7800, 223362.0, 407725.5, 28.5, 156.0, 91.5, 82.5, 43.0, 0.0, 6.536091207765945, 57900.0, 0.0, 0.0, 0.0, 407400.0
7800-8400, 268050.0, 447577.0, 24.5, 166.0, 110.0, 101.0, 47.5, 0.0, 6.106193331511006, 0.0, 0.0, 140400.0, 0.0, 447300.0
