Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90657.0, 90968.5, 1.0, 188.0, 0.0, 186.5, 1.5, 0.0, 0.08543771043771044, 18300.0, 36600.0, 54600.0, 72600.0, 90600.0
600-1200, 91598.5, 92762.0, 5.0, 150.5, 149.0, 147.5, 2.0, 0.0, 0.2713264287164261, 19800.0, 37500.0, 55800.0, 73500.0, 92400.0
1200-1800, 93091.5, 96995.0, 8.5, 101.5, 99.5, 96.5, 3.0, 0.0, 0.21821539000226697, 24300.0, 42300.0, 62400.0, 76500.0, 96900.0
1800-2400, 96573.0, 102414.5, 8.5, 81.5, 77.5, 76.0, 4.5, 0.0, 0.5523486748726756, 28200.0, 51900.0, 35400.0, 85800.0, 102000.0
2400-3000, 101389.5, 126812.0, 17.5, 92.0, 82.0, 71.5, 7.0, 0.0, 0.7958427770806539, 41400.0, 58800.0, 71100.0, 46200.0, 126300.0
3000-3600, 111118.5, 138471.0, 20.0, 83.5, 72.0, 68.0, 9.0, 0.0, 1.3812162806284594, 28500.0, 33900.0, 84300.0, 0.0, 138000.0
3600-4200, 118268.5, 172244.0, 24.5, 104.5, 90.5, 70.5, 13.0, 0.0, 1.6000485660692976, 51600.0, 0.0, 0.0, 0.0, 171300.0
4200-4800, 124105.5, 185166.0, 25.5, 95.5, 72.0, 60.5, 16.5, 0.0, 2.3249934166498374, 81300.0, 0.0, 111900.0, 0.0, 184800.0
4800-5400, 140933.0, 296100.0, 24.0, 138.0, 105.5, 65.0, 21.5, 0.0, 2.1177066949582595, 0.0, 52800.0, 58800.0, 0.0, 295800.0
5400-6000, 156372.5, 325726.0, 31.0, 146.0, 117.0, 69.0, 27.0, 0.0, 3.7850569963711553, 54300.0, 0.0, 0.0, 0.0, 325500.0
6000-6600, 204544.5, 353507.5, 31.5, 147.5, 115.0, 85.0, 32.5, 0.0, 4.186069089122739, 0.0, 0.0, 82200.0, 91200.0, 352800.0
6600-7200, 187614.0, 321751.5, 31.0, 132.5, 98.0, 77.0, 39.0, 0.0, 4.396846531198813, 174600.0, 0.0, 0.0, 0.0, 321300.0
7200-7800, 220195.5, 572163.0, 31.5, 213.5, 166.0, 80.5, 35.5, 0.0, 4.562850877590421, 62100.0, 0.0, 0.0, 0.0, 571500.0
7800-8400, 257883.5, 411041.5, 34.0, 151.5, 105.5, 94.5, 47.5, 0.0, 6.488398131888138, 71100.0, 0.0, 0.0, 0.0, 410400.0
