Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90534.0, 91126.0, 3.0, 159.5, 158.5, 157.5, 1.0, 0.0, 0.01368979567906663, 18900.0, 37200.0, 54900.0, 72600.0, 90900.0
600-1200, 90708.5, 91742.0, 3.0, 126.5, 125.0, 124.0, 1.0, 0.0, 0.09469533275713052, 19200.0, 37500.0, 55500.0, 73500.0, 91500.0
1200-1800, 92760.5, 95360.5, 6.5, 78.0, 76.5, 75.0, 1.5, 0.0, 0.06675280374392681, 25200.0, 43500.0, 60600.0, 78000.0, 95100.0
1800-2400, 97752.5, 108400.5, 10.0, 68.5, 65.5, 61.5, 4.0, 0.0, 0.3487708008347248, 27900.0, 51900.0, 33300.0, 83400.0, 108300.0
2400-3000, 103573.0, 119709.5, 13.0, 57.5, 54.0, 49.0, 4.5, 0.0, 0.46727938607518144, 33600.0, 54300.0, 35700.0, 90900.0, 119400.0
3000-3600, 108099.5, 138487.0, 16.0, 61.5, 53.0, 47.5, 8.0, 0.0, 0.8880833977568536, 23100.0, 34200.0, 42000.0, 54000.0, 138300.0
3600-4200, 114823.5, 166961.0, 17.0, 65.0, 54.0, 43.5, 8.5, 0.0, 1.124530941392715, 34800.0, 0.0, 107100.0, 59400.0, 166800.0
4200-4800, 123293.5, 210744.0, 16.0, 71.5, 57.5, 43.5, 11.5, 0.0, 1.3698046813651998, 0.0, 0.0, 0.0, 59100.0, 210600.0
4800-5400, 141393.0, 230797.0, 18.0, 74.0, 56.0, 46.0, 12.0, 0.0, 1.92783811010866, 0.0, 0.0, 53400.0, 0.0, 230700.0
5400-6000, 146373.5, 240304.5, 21.5, 72.5, 58.0, 45.0, 17.5, 0.0, 2.66852635190974, 0.0, 0.0, 0.0, 0.0, 240000.0
6000-6600, 169575.5, 294502.0, 21.5, 85.5, 64.0, 48.5, 22.0, 0.0, 2.979172890010598, 0.0, 0.0, 0.0, 91800.0, 294600.0
6600-7200, 177260.5, 323448.0, 29.5, 86.5, 61.0, 46.0, 17.5, 0.0, 2.4778878350941236, 72900.0, 89700.0, 0.0, 0.0, 323100.0
7200-7800, 209284.5, 341718.5, 26.5, 88.5, 58.5, 52.0, 25.5, 0.0, 3.4159099295786124, 0.0, 0.0, 0.0, 0.0, 341400.0
7800-8400, 246492.0, 428836.0, 31.5, 107.0, 75.0, 65.0, 32.5, 0.0, 3.550409526650078, 66900.0, 104700.0, 0.0, 0.0, 428700.0
