Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90057.5, 90747.5, 1.5, 159.0, 79.5, 157.0, 1.0, 0.0, 0.016531068038605726, 18900.0, 36600.0, 54600.0, 72900.0, 90600.0
600-1200, 91100.5, 91885.5, 2.5, 121.5, 120.5, 119.0, 1.5, 0.0, 0.01286596319733286, 20100.0, 38100.0, 56400.0, 73800.0, 91800.0
1200-1800, 94619.5, 97774.5, 6.0, 80.0, 77.0, 75.5, 3.0, 0.0, 0.11946433236040234, 24900.0, 42300.0, 63600.0, 77400.0, 97500.0
1800-2400, 96726.0, 107236.0, 10.5, 70.0, 66.0, 62.5, 3.0, 0.0, 0.26086839742133544, 28800.0, 26700.0, 32100.0, 84900.0, 107100.0
2400-3000, 103931.0, 119325.5, 13.0, 63.0, 58.0, 53.0, 5.5, 0.0, 0.6279211446526621, 0.0, 30300.0, 81900.0, 95400.0, 119100.0
3000-3600, 107884.0, 133196.0, 15.5, 60.5, 53.0, 48.5, 6.5, 0.0, 0.8426592206535366, 0.0, 68100.0, 43500.0, 104400.0, 132900.0
3600-4200, 115293.0, 197095.0, 17.5, 78.5, 70.0, 46.0, 9.5, 0.0, 1.1756710541636637, 29100.0, 45300.0, 0.0, 58200.0, 196800.0
4200-4800, 121295.5, 194098.0, 19.5, 69.0, 56.5, 42.0, 10.0, 0.0, 1.594861930723199, 36000.0, 0.0, 59100.0, 0.0, 193800.0
4800-5400, 139409.0, 200825.0, 20.0, 70.0, 57.0, 48.5, 15.0, 0.0, 1.8545328444200144, 0.0, 60300.0, 63000.0, 0.0, 200400.0
5400-6000, 146506.5, 271652.5, 19.5, 88.0, 67.5, 47.5, 17.5, 0.0, 2.568639833651197, 53100.0, 0.0, 0.0, 90000.0, 271500.0
6000-6600, 174234.5, 389637.5, 27.0, 118.0, 94.0, 53.5, 18.0, 0.0, 2.986626398375558, 48600.0, 0.0, 0.0, 0.0, 389400.0
6600-7200, 179717.5, 435648.5, 24.0, 124.0, 94.0, 49.0, 23.5, 0.0, 3.3488129134003692, 82500.0, 82500.0, 0.0, 114900.0, 435300.0
7200-7800, 237787.0, 440764.5, 26.5, 120.0, 83.5, 68.5, 34.5, 0.0, 4.233757077823811, 0.0, 0.0, 0.0, 0.0, 440400.0
7800-8400, 267104.0, 585810.0, 26.5, 149.5, 109.0, 68.0, 30.5, 0.0, 4.591761927316252, 0.0, 0.0, 0.0, 133500.0, 585600.0
