Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90390.5, 91066.0, 2.0, 163.0, 81.5, 161.0, 1.0, 0.0, 0.04411375661375662, 18300.0, 36600.0, 55200.0, 72600.0, 90900.0
600-1200, 91502.0, 92998.5, 3.5, 132.0, 131.0, 129.5, 2.0, 0.0, 0.04777920017604037, 19800.0, 39000.0, 54900.0, 74700.0, 92700.0
1200-1800, 94010.5, 98306.5, 6.0, 89.0, 86.0, 83.0, 2.5, 0.0, 0.13014908000925784, 24600.0, 42600.0, 64500.0, 78300.0, 98100.0
1800-2400, 97976.5, 108880.5, 8.5, 73.5, 68.5, 65.0, 4.0, 0.0, 0.4760320393055526, 33600.0, 48900.0, 67200.0, 83700.0, 108600.0
2400-3000, 103653.0, 123499.0, 10.5, 75.0, 67.5, 62.5, 5.5, 0.0, 0.8024719988639594, 0.0, 58200.0, 0.0, 91500.0, 123300.0
3000-3600, 112608.0, 154572.0, 11.5, 82.0, 73.5, 58.0, 9.5, 0.0, 1.330764773693589, 22800.0, 37800.0, 80400.0, 49200.0, 154200.0
3600-4200, 124641.5, 164752.0, 14.5, 82.5, 66.5, 61.5, 10.5, 0.0, 1.5618494020426619, 33300.0, 0.0, 47700.0, 0.0, 164400.0
4200-4800, 127886.5, 193873.0, 18.5, 88.5, 74.0, 60.5, 13.0, 0.0, 1.5261626051633082, 37800.0, 0.0, 53400.0, 58500.0, 193500.0
4800-5400, 141502.0, 237549.5, 15.0, 98.0, 78.0, 58.0, 21.5, 0.0, 3.4385475298680115, 0.0, 0.0, 63300.0, 0.0, 237300.0
5400-6000, 166366.5, 316236.5, 17.5, 125.0, 99.5, 64.5, 21.5, 0.0, 3.589842070947557, 65400.0, 0.0, 0.0, 0.0, 316200.0
6000-6600, 185751.5, 333316.5, 19.5, 120.0, 93.5, 67.5, 38.5, 0.0, 5.5973898810161655, 0.0, 0.0, 85800.0, 0.0, 333000.0
6600-7200, 220501.5, 445770.0, 18.5, 153.5, 120.0, 79.0, 31.5, 0.0, 5.047137027805047, 0.0, 0.0, 0.0, 0.0, 445800.0
7200-7800, 205636.5, 432254.5, 18.5, 143.5, 107.0, 67.0, 38.0, 0.0, 5.651305708620761, 66000.0, 104400.0, 132000.0, 295800.0, 432000.0
7800-8400, 302255.5, 570651.5, 22.5, 172.0, 125.5, 92.0, 36.0, 0.0, 4.862267707603509, 74400.0, 0.0, 121500.0, 0.0, 570300.0
