Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90700.0, 91258.5, 1.5, 182.0, 90.0, 180.0, 1.5, 0.0, 0.08191559876270438, 18600.0, 36900.0, 54600.0, 72300.0, 90900.0
600-1200, 91377.0, 92893.0, 5.0, 143.5, 142.0, 140.0, 2.0, 0.0, 0.09977234594302573, 19500.0, 39000.0, 57000.0, 73800.0, 92400.0
1200-1800, 93325.0, 96684.0, 7.5, 104.5, 102.5, 100.0, 4.0, 0.0, 0.27983329724010236, 23100.0, 44100.0, 60900.0, 38100.0, 96300.0
1800-2400, 96924.0, 106738.5, 11.0, 94.0, 90.0, 84.5, 6.0, 0.0, 0.627636810637332, 17400.0, 47700.0, 0.0, 40500.0, 106500.0
2400-3000, 103038.0, 118992.5, 11.0, 85.0, 76.0, 74.0, 9.0, 0.0, 1.0894738481225972, 20700.0, 30300.0, 73200.0, 46200.0, 118800.0
3000-3600, 108956.0, 135562.0, 16.0, 86.5, 74.5, 69.0, 12.0, 0.0, 1.7032285147743162, 0.0, 63600.0, 0.0, 105300.0, 135000.0
3600-4200, 118665.0, 176491.0, 15.5, 109.0, 93.5, 72.5, 14.0, 0.0, 1.7652554480867664, 35700.0, 33900.0, 0.0, 114900.0, 176100.0
4200-4800, 135266.0, 196707.0, 18.0, 113.0, 97.0, 77.0, 19.0, 0.0, 3.222594242653572, 48600.0, 51000.0, 0.0, 0.0, 196200.0
4800-5400, 145424.5, 202565.5, 16.5, 111.0, 90.0, 81.0, 24.5, 0.0, 3.5724533693012672, 0.0, 57300.0, 66900.0, 0.0, 202500.0
5400-6000, 164603.0, 257351.0, 18.5, 128.5, 95.0, 83.5, 34.0, 0.0, 4.923210842378341, 0.0, 0.0, 0.0, 84900.0, 257100.0
6000-6600, 180983.0, 265762.5, 18.5, 127.5, 91.0, 88.0, 32.0, 0.0, 4.142089320188708, 0.0, 75300.0, 0.0, 0.0, 265200.0
6600-7200, 190331.0, 301245.0, 23.0, 141.0, 106.0, 86.5, 54.0, 0.0, 7.0801861913481385, 0.0, 0.0, 0.0, 0.0, 300900.0
7200-7800, 231201.5, 416422.0, 20.5, 184.0, 140.0, 102.5, 43.5, 0.0, 6.71046602480496, 0.0, 0.0, 0.0, 0.0, 416100.0
7800-8400, 308971.0, 524418.5, 23.5, 231.0, 173.0, 138.0, 53.5, 0.0, 7.191583944846958, 0.0, 0.0, 153000.0, 0.0, 523800.0
