Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91276, 92121, 3, 127, 126, 125, 3, 0, 0.17174959871589085, 0: 1653, 1: 135, 2: 57, 3: 24
600-1200, 90781, 91933, 2, 125, 123, 122, 4, 0, 0.1808695652173913, 0: 995, 1: 114, 2: 30, 3: 10, 4: 1
1200-1800, 94952, 99620, 4, 111, 109, 105, 3, 0, 0.07237687366167024, 0: 2182, 1: 139, 2: 12, 3: 2
1800-2400, 95480, 103521, 8, 89, 86, 80, 4, 0, 0.49607650809220205, 0: 2571, 1: 1076, 2: 366, 3: 45, 4: 20
2400-3000, 99019, 105101, 9, 85, 79, 78, 4, 0, 0.18135506877228733, 0: 4982, 1: 785, 2: 88, 3: 29, 4: 5
3000-3600, 105298, 114858, 9, 76, 71, 69, 4, 0, 0.585279655808236, 0: 3731, 1: 1919, 2: 731, 3: 80, 4: 47
3600-4200, 102351, 131112, 11, 77, 70, 60, 10, 0, 1.041933388997124, 0: 5529, 1: 2565, 2: 1062, 3: 667, 4: 696, 5: 67, 6: 35, 7: 103, 8: 16, 9: 27, 10: 12
4200-4800, 108227, 130922, 11, 72, 60, 59, 7, 0, 1.0563353201307442, 0: 4581, 1: 2734, 2: 1888, 3: 709, 4: 211, 5: 192, 6: 62, 7: 25
4800-5400, 114021, 149568, 14, 88, 81, 65, 17, 0, 2.071753640776699, 0: 4686, 1: 2490, 2: 1752, 3: 1242, 4: 958, 5: 893, 6: 343, 7: 302, 8: 155, 9: 194, 10: 62, 11: 36, 12: 4, 13: 2, 14: 8, 15: 1, 16: 30, 17: 26
5400-6000, 129370, 173041, 15, 84, 78, 61, 12, 0, 1.72909351020939, 0: 5721, 1: 3035, 2: 2866, 3: 799, 4: 1157, 5: 686, 6: 620, 7: 393, 8: 35, 9: 50, 10: 11, 11: 3, 12: 2
6000-6600, 126855, 181268, 11, 84, 65, 56, 11, 0, 1.8872170944493616, 0: 6198, 1: 3357, 2: 1509, 3: 1315, 4: 687, 5: 1354, 6: 607, 7: 141, 8: 550, 9: 25, 10: 65, 11: 10
6600-7200, 138212, 222614, 14, 102, 88, 64, 14, 0, 2.6940447199468673, 0: 2827, 1: 3228, 2: 1924, 3: 1070, 4: 1211, 5: 941, 6: 1158, 7: 617, 8: 192, 9: 199, 10: 48, 11: 53, 12: 65, 13: 17, 14: 1
7200-7800, 125568, 166323, 14, 82, 67, 58, 20, 0, 2.641966141966142, 0: 3820, 1: 2806, 2: 2137, 3: 1273, 4: 605, 5: 655, 6: 453, 7: 426, 8: 463, 9: 224, 10: 197, 11: 84, 12: 71, 13: 106, 14: 40, 15: 10, 16: 20, 18: 72, 19: 2, 20: 4
7800-8400, 146513, 200261, 16, 89, 71, 66, 19, 0, 4.076339849847618, 0: 2308, 1: 2286, 2: 1583, 3: 1282, 4: 1110, 5: 1512, 6: 518, 7: 317, 8: 594, 9: 352, 10: 340, 11: 441, 12: 118, 13: 77, 14: 105, 15: 135, 16: 247, 17: 126, 18: 1, 19: 1
