Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90760.66666666667, 90883.16666666666, 1.3333333333333333, 170.33333333333334, 27.333333333333332, 168.83333333333334, 1.1666666666666665, 0.0, 0.11382681136501635
600-1200, 91954.66666666667, 93197.16666666666, 4.666666666666667, 134.0, 132.33333333333331, 131.0, 1.5, 0.0, 0.1314483447353408
1200-1800, 95221.5, 99719.33333333333, 7.833333333333334, 93.16666666666667, 90.0, 88.0, 3.3333333333333335, 0.0, 0.25310308806491644
1800-2400, 103537.33333333334, 115219.66666666667, 10.666666666666666, 86.66666666666666, 81.33333333333333, 76.33333333333333, 9.0, 0.0, 0.6557941173920607
2400-3000, 110290.5, 125404.66666666666, 16.833333333333336, 78.5, 71.33333333333333, 67.66666666666666, 9.0, 0.0, 0.7578438354191241
3000-3600, 123685.83333333334, 165624.5, 15.666666666666666, 89.83333333333333, 80.5, 66.66666666666666, 23.0, 0.0, 3.127542803512302
3600-4200, 127739.66666666667, 181255.5, 20.666666666666664, 88.16666666666667, 74.83333333333333, 62.5, 24.5, 0.0, 3.1312537909817815
4200-4800, 135590.33333333334, 219901.0, 22.5, 98.33333333333333, 79.16666666666666, 60.833333333333336, 35.5, 0.0, 6.914019184486245
4800-5400, 149816.1666666667, 223795.8333333333, 23.833333333333336, 90.83333333333333, 73.33333333333334, 61.5, 26.166666666666664, 0.0, 4.123380680881013
5400-6000, 170931.83333333334, 276339.5, 25.833333333333332, 104.16666666666667, 83.33333333333334, 65.0, 36.333333333333336, 0.0, 6.200887011501496
6000-6600, 193793.66666666666, 304213.1666666667, 27.166666666666664, 110.5, 82.66666666666666, 72.0, 36.166666666666664, 0.0, 6.074627368014835
6600-7200, 220525.16666666666, 469922.3333333334, 29.166666666666668, 157.83333333333334, 120.0, 76.66666666666666, 77.83333333333333, 0.0, 18.750255723588808
7200-7800, 234796.0, 482160.1666666666, 31.666666666666668, 154.83333333333331, 109.33333333333334, 76.66666666666666, 75.83333333333334, 0.0, 16.7090769525414
7800-8400, 289093.6666666666, 483257.6666666666, 33.83333333333333, 149.5, 110.5, 90.5, 58.33333333333333, 0.0, 10.707488372747566
