Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90645.33333333333, 91333.33333333333, 1.1666666666666665, 197.0, 32.0, 194.16666666666669, 2.333333333333333, 0.0, 0.2599134085612787
600-1200, 92080.83333333333, 93916.33333333333, 3.1666666666666665, 165.16666666666669, 163.33333333333331, 161.16666666666669, 2.5, 0.0, 0.27752595500367083
1200-1800, 99635.0, 105692.83333333334, 7.0, 124.83333333333334, 120.83333333333333, 116.66666666666666, 8.166666666666666, 0.0, 0.5716228655118473
1800-2400, 104376.5, 116331.66666666667, 10.166666666666666, 113.5, 107.66666666666667, 101.33333333333333, 9.5, 0.0, 0.70764980436069
2400-3000, 112636.66666666667, 129972.33333333333, 10.333333333333334, 110.16666666666667, 100.0, 94.83333333333334, 13.666666666666666, 0.0, 1.1204281977292259
3000-3600, 124326.0, 159410.6666666667, 15.5, 124.16666666666667, 111.33333333333334, 94.33333333333334, 26.666666666666668, 0.0, 2.923532920651744
3600-4200, 129805.83333333333, 183311.0, 17.5, 126.66666666666667, 106.0, 89.0, 33.66666666666667, 0.0, 4.410059563928104
4200-4800, 151272.5, 212373.66666666666, 15.333333333333334, 137.16666666666669, 114.66666666666667, 98.16666666666667, 36.16666666666667, 0.0, 5.00493895533289
4800-5400, 170168.33333333334, 297318.8333333333, 19.833333333333332, 177.16666666666669, 150.66666666666669, 100.33333333333333, 75.0, 0.0, 15.773348698166235
5400-6000, 211610.16666666666, 336358.5, 21.166666666666664, 186.83333333333334, 159.16666666666666, 119.0, 69.66666666666667, 0.0, 13.9017076846654
6000-6600, 239747.33333333334, 370941.1666666667, 21.0, 207.5, 164.0, 135.5, 67.5, 0.0, 12.113777857862033
6600-7200, 273346.1666666666, 458757.1666666667, 21.666666666666668, 248.16666666666669, 190.83333333333334, 153.16666666666669, 94.5, 0.0, 18.927429391834824
7200-7800, 335330.5, 602301.6666666667, 23.833333333333336, 307.0, 249.16666666666669, 170.33333333333334, 134.0, 0.0, 29.10055724329302
7800-8400, 354011.8333333333, 633741.6666666667, 23.0, 305.83333333333337, 227.33333333333334, 174.83333333333334, 129.0, 0.0, 28.033615145802365
0-600, 90165.0, 90921.0, 1.0, 193.0, 0, 190.0, 2.0, 0.0, 0.23609534619750283
600-1200, 90762.0, 91434.0, 3.0, 166.0, 165.0, 163.0, 3.0, 0.0, 0.3117303953337654
1200-1800, 95172.0, 97817.0, 6.0, 111.0, 109.0, 105.0, 4.0, 0.0, 0.2887052341597796
1800-2400, 117528.0, 127503.0, 15.0, 117.0, 112.0, 108.0, 13.0, 0.0, 0.9993849938499385
2400-3000, 106386.0, 128135.0, 12.0, 110.0, 103.0, 90.0, 18.0, 0.0, 1.465135356849877
3000-3600, 126674.0, 145914.0, 12.0, 104.0, 95.0, 89.0, 16.0, 0.0, 1.1847133757961783
3600-4200, 135022.0, 232980.0, 12.0, 153.0, 128.0, 87.0, 63.0, 0.0, 12.194748358862144
4200-4800, 166886.0, 216774.0, 15.0, 136.0, 115.0, 104.0, 34.0, 0.0, 4.068734283319363
4800-5400, 169534.0, 216005.0, 22.0, 129.0, 112.0, 101.0, 27.0, 0.0, 2.9161676646706587
5400-6000, 174059.0, 268005.0, 21.0, 158.0, 129.0, 108.0, 46.0, 0.0, 6.6663542642924085
6000-6600, 227710.0, 283011.0, 16.0, 155.0, 124.0, 120.0, 30.0, 0.0, 3.5278058645096055
6600-7200, 316071.0, 427851.0, 23.0, 223.0, 182.0, 166.0, 53.0, 0.0, 6.664905660377358
7200-7800, 300730.0, 505365.0, 24.0, 243.0, 176.0, 146.0, 90.0, 0.0, 13.886280264123258
7800-8400, 360019.0, 550512.0, 23.0, 241.0, 173.0, 159.0, 79.0, 0.0, 13.479724560061209
