Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90085.0, 90496.5, 2.0, 211.5, 107.5, 209.5, 2.5, 0.0, 0.2286108871438921, 18600.0, 37200.0, 54000.0, 72300.0, 90300.0
600-1200, 91632.5, 92893.5, 3.0, 169.5, 168.5, 165.5, 3.0, 0.0, 0.15820738958227087, 20400.0, 38100.0, 56100.0, 73500.0, 92700.0
1200-1800, 93243.0, 97776.5, 6.0, 131.5, 128.5, 124.5, 7.0, 0.0, 0.499483275255261, 22800.0, 41400.0, 59700.0, 80700.0, 97500.0
1800-2400, 95863.5, 107762.5, 8.5, 122.0, 116.5, 108.5, 8.5, 0.0, 1.0068798939694419, 33600.0, 46500.0, 67200.0, 84300.0, 107400.0
2400-3000, 102428.5, 115510.5, 9.0, 121.5, 113.5, 107.5, 16.0, 0.0, 2.2552056533593023, 39900.0, 54600.0, 39300.0, 88500.0, 115200.0
3000-3600, 115743.0, 156087.0, 13.0, 130.5, 114.0, 97.5, 16.0, 0.0, 2.1964808713715174, 0.0, 37500.0, 0.0, 0.0, 155400.0
3600-4200, 115554.5, 142900.5, 13.5, 112.0, 91.5, 88.0, 24.0, 0.0, 3.5530502871205014, 36300.0, 88200.0, 103500.0, 62700.0, 142500.0
4200-4800, 125018.5, 193915.5, 12.0, 151.0, 125.0, 94.5, 35.0, 0.0, 4.375269282074129, 38400.0, 0.0, 59400.0, 0.0, 193800.0
4800-5400, 163655.5, 216778.0, 13.5, 153.5, 124.0, 118.5, 39.5, 0.0, 8.11768470043715, 41400.0, 0.0, 0.0, 0.0, 216600.0
5400-6000, 173793.5, 269934.5, 16.5, 169.5, 128.5, 107.0, 57.0, 0.0, 8.395859752057993, 0.0, 98700.0, 0.0, 0.0, 269400.0
6000-6600, 184040.5, 316256.0, 17.0, 198.0, 148.0, 115.5, 69.0, 0.0, 9.095705619331904, 54600.0, 0.0, 0.0, 0.0, 315600.0
6600-7200, 197757.5, 378104.0, 16.0, 235.5, 177.0, 124.5, 74.0, 0.0, 15.547450720573845, 0.0, 89400.0, 0.0, 102900.0, 377700.0
7200-7800, 276420.5, 420965.0, 16.0, 272.0, 209.0, 177.0, 93.5, 0.0, 18.70151604310439, 101100.0, 0.0, 0.0, 0.0, 420900.0
7800-8400, 277135.0, 556894.5, 15.5, 330.5, 226.0, 164.5, 111.0, 0.0, 16.901951321559256, 0.0, 0.0, 0.0, 0.0, 556500.0
