Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90199.0, 90929.0, 3.5, 174.5, 87.0, 172.5, 1.5, 0.0, 0.12752501266464034, 19200.0, 36600.0, 54900.0, 72900.0, 90600.0
600-1200, 90743.0, 92115.5, 3.0, 140.0, 139.0, 136.5, 1.5, 0.0, 0.06818401883761362, 20100.0, 39300.0, 55800.0, 74100.0, 91800.0
1200-1800, 93967.5, 97898.0, 11.5, 94.5, 91.5, 89.5, 2.5, 0.0, 0.1524657004577618, 24000.0, 41400.0, 60900.0, 78300.0, 97200.0
1800-2400, 96777.0, 105194.5, 11.5, 85.5, 81.0, 78.5, 7.0, 0.0, 0.5457070425044768, 35100.0, 47400.0, 64500.0, 83100.0, 104400.0
2400-3000, 101966.5, 126825.5, 16.5, 84.5, 76.5, 66.5, 7.0, 0.0, 0.8959959010424803, 16800.0, 29400.0, 79500.0, 97200.0, 126000.0
3000-3600, 107383.0, 155238.5, 24.0, 93.5, 81.0, 65.0, 8.5, 0.0, 1.2514098694695317, 0.0, 32100.0, 81900.0, 53400.0, 155100.0
3600-4200, 116335.5, 151753.5, 27.5, 79.0, 69.0, 61.0, 10.5, 0.0, 1.538914681351712, 29100.0, 0.0, 41700.0, 65100.0, 151200.0
4200-4800, 124908.0, 164318.0, 21.0, 81.5, 64.0, 61.0, 12.5, 0.0, 1.9750278511267072, 0.0, 0.0, 0.0, 0.0, 164100.0
4800-5400, 133999.5, 251534.5, 25.5, 112.0, 91.5, 62.0, 18.5, 0.0, 2.4983669502674832, 76800.0, 58200.0, 60600.0, 0.0, 251100.0
5400-6000, 152473.5, 250439.0, 25.5, 108.0, 82.5, 64.0, 19.5, 0.0, 2.960871897984455, 48900.0, 62700.0, 0.0, 89100.0, 250200.0
6000-6600, 187116.5, 280910.5, 32.5, 116.0, 92.0, 79.0, 28.0, 0.0, 4.093533690485384, 67200.0, 72300.0, 84600.0, 190500.0, 280500.0
6600-7200, 199399.5, 357711.0, 30.5, 131.0, 84.0, 73.5, 34.0, 0.0, 4.089266222510806, 0.0, 89400.0, 0.0, 131700.0, 357300.0
7200-7800, 186937.5, 475227.5, 32.5, 177.0, 142.0, 72.5, 35.5, 0.0, 4.631242818849685, 61500.0, 102600.0, 0.0, 0.0, 474900.0
7800-8400, 222368.5, 511944.0, 34.5, 173.0, 117.5, 74.5, 42.5, 0.0, 4.79024818619619, 0.0, 120900.0, 0.0, 145500.0, 511500.0
