Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91095.83333333333, 91723.66666666667, 2.5, 184.16666666666669, 92.0, 182.0, 2.1666666666666665, 0.0, 0.18533604449809662
600-1200, 93037.83333333333, 94376.0, 3.5, 157.5, 156.33333333333331, 154.33333333333331, 2.833333333333333, 0.0, 0.2367099228260594
1200-1800, 98610.16666666667, 106871.5, 6.833333333333334, 117.5, 114.5, 107.5, 7.833333333333333, 0.0, 0.6593574270255466
1800-2400, 108291.83333333333, 117231.33333333333, 8.5, 101.83333333333333, 95.16666666666667, 92.16666666666666, 11.166666666666666, 0.0, 0.8763699881530402
2400-3000, 111848.16666666667, 144974.3333333333, 12.333333333333334, 108.33333333333334, 99.0, 83.33333333333333, 22.5, 0.0, 2.4787223995276984
3000-3600, 136163.0, 167741.66666666666, 13.0, 111.66666666666666, 99.5, 89.66666666666667, 25.5, 0.0, 3.4453567947683137
3600-4200, 132540.66666666666, 205695.5, 15.833333333333334, 121.16666666666667, 104.66666666666667, 76.33333333333333, 41.33333333333333, 0.0, 6.798469191259635
4200-4800, 149582.33333333334, 219048.66666666666, 17.333333333333336, 124.83333333333333, 103.66666666666666, 84.0, 37.66666666666667, 0.0, 5.465550002219322
4800-5400, 178112.3333333333, 260343.6666666667, 19.0, 132.5, 109.0, 92.66666666666667, 37.833333333333336, 0.0, 6.3826043268171855
5400-6000, 199633.16666666666, 300945.5, 19.666666666666668, 152.66666666666666, 127.00000000000001, 101.5, 50.16666666666667, 0.0, 7.995320900226468
6000-6600, 247228.6666666667, 383677.5, 21.833333333333332, 181.33333333333331, 144.33333333333334, 116.0, 63.0, 0.0, 10.731334126074652
6600-7200, 261695.5, 432096.8333333334, 22.5, 193.83333333333334, 150.16666666666669, 117.33333333333333, 73.5, 0.0, 12.819740107434567
7200-7800, 272881.8333333333, 502813.3333333333, 22.5, 214.0, 167.5, 118.16666666666666, 91.33333333333334, 0.0, 18.53705628189161
7800-8400, 323264.5, 555860.5, 23.0, 230.66666666666666, 176.5, 131.83333333333331, 94.66666666666667, 0.0, 17.60232155240089
