Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90743.5, 91306.83333333333, 2.833333333333333, 173.33333333333334, 143.16666666666669, 171.5, 1.3333333333333333, 0.0, 0.1292487864900759
600-1200, 91688.66666666667, 93124.16666666667, 3.1666666666666665, 144.83333333333331, 143.66666666666666, 142.16666666666666, 1.8333333333333333, 0.0, 0.17597248162351875
1200-1800, 97592.66666666667, 103560.16666666667, 8.5, 105.83333333333333, 102.66666666666666, 98.5, 5.666666666666667, 0.0, 0.3986079036038274
1800-2400, 104416.83333333333, 121201.5, 10.333333333333334, 98.5, 91.83333333333333, 82.66666666666667, 13.333333333333334, 0.0, 1.088568641682827
2400-3000, 109809.16666666667, 124669.66666666666, 14.666666666666668, 86.33333333333333, 78.66666666666667, 74.16666666666666, 10.333333333333334, 0.0, 0.7959064490536447
3000-3600, 116407.16666666667, 154972.5, 16.166666666666668, 92.33333333333333, 80.16666666666667, 67.0, 21.833333333333336, 0.0, 2.5257444374159657
3600-4200, 146352.8333333333, 199069.66666666666, 17.833333333333332, 110.33333333333333, 95.66666666666667, 79.83333333333333, 31.666666666666664, 0.0, 4.712042562758843
4200-4800, 155100.33333333334, 240167.8333333333, 17.5, 121.16666666666666, 102.33333333333334, 78.0, 44.166666666666664, 0.0, 7.83270862232232
4800-5400, 160184.5, 232856.33333333334, 19.833333333333332, 107.33333333333334, 85.5, 74.33333333333334, 30.166666666666668, 0.0, 5.019425183825641
5400-6000, 193385.5, 340502.0, 20.166666666666668, 153.5, 124.66666666666667, 88.5, 64.5, 0.0, 13.43005789154786
6000-6600, 201250.16666666666, 349801.0, 22.333333333333336, 148.33333333333334, 121.16666666666666, 85.5, 60.833333333333336, 0.0, 13.05965712650095
6600-7200, 243778.66666666666, 451423.6666666667, 25.166666666666668, 179.83333333333334, 147.5, 97.33333333333334, 78.83333333333333, 0.0, 17.161375679462687
7200-7800, 292354.1666666667, 549986.6666666666, 26.0, 211.33333333333334, 168.16666666666666, 114.66666666666666, 95.33333333333333, 0.0, 20.77543412284177
7800-8400, 347389.8333333334, 561623.3333333334, 25.833333333333332, 209.66666666666669, 162.0, 131.5, 83.66666666666667, 0.0, 16.757854419124406
