contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 0.09872537027228297, 0.27150729195085666, 0.3156337501639205, 0.08126813357718031, 0.1751737646302677, 0.2452039905668414, 0.06286554718058077, 0.13021201133419924, 0.21307038978923065, 0.04722854972324295, 0.13336636001775232, 0.18826003251363124, 0.04238677864454371, 0.13236882834232075, 0.16894659784958496
600-1200, 0.13449885333464354, 0.29488418991914733, 0.33543236826087003, 0.1249610735197438, 0.2365807821008217, 0.2590170444063169, 0.062316073854871444, 0.1650364399471609, 0.2270534531834091, 0.054342835874119824, 0.15312839582410925, 0.18564158202483239, 0.06083925311293892, 0.11854549394140414, 0.19869012439909609
1200-1800, 0.214338088154906, 0.5780119474923869, 0.49731839471156025, 0.34242443697396235, 0.8011576580826674, 0.6785048741092304, 0.1863360530572533, 0.39664889728169817, 0.5958140887417656, 1.884391471858788, 0.2375343031456252, 0.6034668907283074, 1.2364692210426562, 0.25747505224525896, 0.2561968586323011
1800-2400, 0.5052224619077167, 1.16656571993416, 0.5764602259247039, 0.7207966180253448, 0.6399845915528984, 0.6857919705256414, 0.6259662068256968, 1.4074027457317473, 0.705661594353813, 0.7451013773632658, 0.7022523461494398, 0.4949119915016504, 0.8683906402871285, 0.47494895664533354, 0.3901097527633561
2400-3000, 1.1329035817397355, 1.5999210509687567, 1.9028744129604833, 1.2521400664535207, 2.5141725946023326, 1.3090815330001302, 2.3842015485281025, 0.8685042919156265, 1.710880974827269, 1.9471596445131687, 1.2507356207141012, 1.216156577805475, 1.6165475127573057, 0.8944278635116305, 1.26477887743959
3000-3600, 3.1077284038566395, 1.421934174896283, 2.0126568524841724, 2.0971757976815817, 3.953288526977105, 2.9732913171368045, 1.9876525855608267, 2.97765827050216, 1.967367494836417, 1.28155282813738, 2.5057599184022448, 3.292493159403003, 1.448649158122008, 3.1210029427444104, 1.3588570203295747
3600-4200, 3.3731155921514726, 3.7517422803372913, 8.724020887538952, 4.242246542827077, 8.961551604088221, 4.602638485476926, 4.2743878527394426, 3.7873127276517686, 5.679549775418383, 1.6436495459926475, 3.2729550411388946, 2.4092442947814385, 2.8870310683450375, 3.456492381971989, 7.999277884790741
4200-4800, 3.859240457883746, 8.161110359892831, 5.095225550108775, 4.87456134888749, 5.610298625659791, 4.495866767275076, 4.246227804415991, 8.864332358398697, 7.069181910596528, 3.505100462822839, 9.717322561977465, 6.647216623528502, 4.775656939951329, 9.099129228442855, 7.039772454705708
4800-5400, 6.127461482395968, 9.061990936237791, 12.525918362188069, 5.5979024554674055, 7.117236150269982, 20.325762183913763, 6.062223528335336, 5.817948893852288, 6.440371523557666, 3.8592515541635626, 14.570168143355334, 10.200672997001867, 4.113176963456208, 4.372988119732279, 3.871986757764913
5400-6000, 8.144452996328647, 6.745925036597076, 20.98352162864954, 6.211602924989281, 8.66353258570079, 11.307223795910836, 7.211438766179092, 13.842025527599105, 6.4179928945665905, 8.110544929542277, 6.1568137335297175, 8.304956151844639, 7.337707793282128, 6.689820749410818, 6.715350286191817
6000-6600, 11.34918347023537, 14.207882772940696, 23.03653399047736, 9.974701365424913, 10.471212972093394, 12.169052772818736, 10.33629210350501, 12.590228280663155, 6.5223192854012595, 6.571449495550005, 9.266033156223447, 12.580312623226547, 7.397351493459513, 6.638487268231151, 14.836999679753553
6600-7200, 10.229635386390727, 29.657860749139328, 20.98891422748674, 7.674813308854446, 9.726274202427563, 19.827926160289522, 12.225682856433599, 21.059774881938257, 10.39326641237291, 15.493670342524885, 7.395997261077363, 9.913615343379721, 7.630342440496348, 24.03471911619052, 7.861075214209235
7200-7800, 13.37785286188663, 13.377253144448307, 20.99308059394894, 12.712699588310779, 18.26641661642823, 24.09014124939682, 19.97795892738738, 23.698523651621954, 31.33342431734411, 18.230087714427967, 12.403995883529275, 21.499028358706123, 5.592869570130233, 13.574825091140292, 8.850427900392399
7800-8400, 16.55297011144762, 21.69888736263454, 23.90787325935113, 15.862772874893562, 16.891581865656008, 30.239056101769364, 10.962262846083346, 14.164186523879884, 16.206195059205722, 25.125907145818648, 16.88988229386079, 15.837984200223756, 18.926982038088717, 12.323905630864434, 35.83425798820297
