Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90576.83333333334, 91167.83333333333, 2.0, 161.5, 80.33333333333334, 159.5, 1.1666666666666665, 0.0, 0.05824911612580518
600-1200, 91276.0, 92137.16666666667, 3.333333333333333, 125.16666666666667, 124.16666666666667, 123.16666666666667, 1.3333333333333333, 0.0, 0.06908042761042231
1200-1800, 96251.5, 101497.0, 7.333333333333333, 87.33333333333334, 84.0, 82.0, 2.8333333333333335, 0.0, 0.1710923636502166
1800-2400, 105812.83333333334, 117276.5, 7.833333333333333, 80.33333333333333, 75.66666666666667, 71.66666666666667, 9.166666666666666, 0.0, 0.7004388882337791
2400-3000, 115405.16666666666, 145962.0, 11.0, 83.0, 76.66666666666666, 65.5, 19.166666666666668, 0.0, 1.90180778171497
3000-3600, 119469.66666666666, 161187.6666666667, 14.333333333333332, 78.0, 67.33333333333334, 56.83333333333333, 17.833333333333336, 0.0, 2.18026696587246
3600-4200, 137057.83333333334, 197250.8333333333, 16.0, 85.0, 72.0, 58.83333333333333, 23.666666666666664, 0.0, 3.466966428900273
4200-4800, 142536.6666666667, 225098.5, 17.333333333333332, 88.5, 74.83333333333333, 57.5, 27.833333333333332, 0.0, 4.743666553261393
4800-5400, 161178.5, 290567.3333333333, 20.5, 105.83333333333334, 88.0, 60.0, 42.66666666666667, 0.0, 8.881647570295751
5400-6000, 186298.66666666666, 294662.6666666666, 19.833333333333332, 102.5, 75.0, 66.66666666666667, 34.166666666666664, 0.0, 6.183553304133672
6000-6600, 227227.3333333333, 391628.1666666667, 22.0, 124.16666666666666, 97.33333333333334, 73.0, 48.33333333333333, 0.0, 9.577729389883142
6600-7200, 262808.3333333333, 426630.8333333333, 23.833333333333336, 130.0, 103.0, 79.16666666666667, 47.16666666666667, 0.0, 9.63264987940961
7200-7800, 283854.1666666666, 543117.5, 26.0, 158.16666666666666, 120.83333333333333, 85.16666666666666, 70.0, 0.0, 15.656710162294223
7800-8400, 332209.6666666666, 583802.5, 26.0, 162.0, 121.66666666666667, 95.16666666666667, 66.16666666666667, 0.0, 13.097626994704052
