Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90208, 90719, 3, 163, 162, 161, 2, 0, 0.06924493554327808
600-1200, 91516, 93126, 4, 128, 126, 125, 2, 0, 0.14407334643091027
1200-1800, 96712, 105618, 9, 105, 103, 98, 5, 0, 0.3368606701940035
1800-2400, 101149, 111152, 4, 89, 83, 80, 6, 0, 0.3570581257413998
2400-3000, 106803, 127328, 10, 89, 79, 75, 9, 0, 0.7467994310099573
3000-3600, 141893, 163598, 14, 97, 88, 84, 16, 0, 1.2411847672778562
3600-4200, 137411, 164738, 11, 102, 88, 84, 15, 0, 1.169747899159664
4200-4800, 167183, 227231, 12, 119, 102, 85, 30, 0, 3.6739130434782608
4800-5400, 186216, 281584, 12, 128, 104, 85, 40, 0, 5.788309636650869
5400-6000, 247440, 374747, 14, 178, 147, 114, 60, 0, 9.295755968169761
6000-6600, 296597, 416570, 11, 179, 137, 129, 46, 0, 6.46095717884131
6600-7200, 277356, 488555, 16, 204, 167, 114, 85, 0, 15.641059602649007
7200-7800, 364889, 559486, 17, 212, 144, 139, 68, 0, 11.654646324549237
7800-8400, 309291, 569679, 16, 221, 174, 123, 90, 0, 15.687083888149134
