Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90023, 90681, 1, 177, None, 175, 1, 0, 0.1546955285886083
600-1200, 91558, 91976, 3, 147, 146, 144, 2, 0, 0.2278750204482251
1200-1800, 95555, 106926, 6, 112, 111, 101, 9, 0, 0.5976903134574594
1800-2400, 109214, 117799, 9, 92, 87, 84, 6, 0, 0.5274897895067546
2400-3000, 105232, 131913, 12, 91, 79, 73, 15, 0, 1.3974121996303142
3000-3600, 111658, 182069, 17, 114, 95, 75, 36, 0, 6.380784061696658
3600-4200, 123054, 221521, 18, 119, 106, 64, 52, 0, 10.128372093023255
4200-4800, 143808, 190405, 19, 98, 80, 72, 21, 0, 2.2025641025641027
4800-5400, 156979, 212049, 28, 96, 71, 69, 24, 0, 3.208059570740254
5400-6000, 179846, 260407, 32, 113, 84, 78, 39, 0, 5.75925155925156
6000-6600, 243938, 481929, 30, 187, 157, 94, 97, 0, 25.32280879009851
6600-7200, 228791, 389521, 33, 147, 115, 87, 56, 0, 9.190784982935154
7200-7800, 266000, 763446, 31, 268, 212, 99, 176, 0, 54.983915260886626
7800-8400, 313189, 445533, 30, 156, 123, 113, 41, 0, 7.248417132216015
