Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91501, 92179, 3, 210, 209, 208, 2, 0, 0.32107843137254904
600-1200, 92422, 99727, 4, 188, 185, 175, 11, 0, 0.6826258637709773
1200-1800, 96170, 99795, 7, 124, 121, 119, 3, 0, 0.3410059676044331
1800-2400, 105973, 118094, 7, 122, 116, 107, 12, 0, 0.909706546275395
2400-3000, 110518, 150719, 13, 145, 134, 103, 37, 0, 4.724511930585683
3000-3600, 121623, 170578, 13, 158, 140, 112, 42, 0, 6.0980891719745225
3600-4200, 137317, 196092, 14, 144, 119, 103, 38, 0, 6.028449502133713
4200-4800, 202347, 239694, 8, 184, 155, 154, 49, 0, 5.743725231175693
4800-5400, 178484, 278490, 15, 197, 167, 121, 72, 0, 13.36231884057971
5400-6000, 200456, 308508, 13, 219, 160, 148, 67, 0, 10.411678832116788
6000-6600, 263738, 414730, 14, 272, 192, 173, 94, 0, 18.373555840821567
6600-7200, 306057, 568035, 13, 336, 287, 182, 152, 0, 31.985898942420683
7200-7800, 386833, 582472, 16, 352, 278, 223, 122, 0, 19.080645161290324
7800-8400, 426956, 687641, 17, 420, 324, 273, 142, 0, 23.05292792792793
