Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90160, 91293, 7, 177, 176, 175, 2, 0, 0.1525039957378796
600-1200, 92269, 93988, 5, 147, 145, 143, 2, 0, 0.20157170923379175
1200-1800, 95692, 100885, 11, 106, 102, 101, 3, 0, 0.2962515114873035
1800-2400, 100375, 111172, 10, 92, 89, 82, 8, 0, 0.6815664556962026
2400-3000, 108788, 132263, 6, 94, 87, 76, 14, 0, 1.2666666666666666
3000-3600, 119412, 165744, 20, 104, 93, 74, 26, 0, 3.0425155004428697
3600-4200, 126090, 201584, 22, 111, 98, 67, 38, 0, 7.0
4200-4800, 144678, 243714, 18, 127, 110, 72, 50, 0, 9.99916142557652
4800-5400, 149631, 227772, 20, 108, 86, 69, 36, 0, 5.486711829077644
5400-6000, 178695, 306094, 29, 138, 104, 82, 52, 0, 10.496190049305245
6000-6600, 200603, 321386, 27, 139, 103, 84, 50, 0, 8.089731729879741
6600-7200, 221514, 410805, 33, 155, 126, 88, 63, 0, 10.551190973673213
7200-7800, 282732, 510194, 30, 200, 153, 114, 82, 0, 16.8503301540719
7800-8400, 268604, 585329, 34, 217, 164, 104, 109, 0, 24.916488222698074
