Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90870, 91461, 1, 205, None, 203, 2, 0, 0.29148286392941974
600-1200, 92075, 94133, 5, 162, 160, 156, 3, 0, 0.24280039721946375
1200-1800, 96030, 101064, 5, 128, 125, 122, 4, 0, 0.3919141914191419
1800-2400, 109384, 123875, 10, 119, 115, 106, 10, 0, 0.8185699039487727
2400-3000, 111672, 128200, 13, 103, 94, 89, 11, 0, 0.6741573033707865
3000-3600, 123254, 190381, 7, 155, 130, 100, 52, 0, 8.993333333333334
3600-4200, 140590, 167569, 13, 129, 110, 104, 18, 0, 2.0771653543307087
4200-4800, 150675, 225281, 13, 153, 134, 104, 45, 0, 5.63568215892054
4800-5400, 204761, 326843, 15, 221, 191, 138, 73, 0, 11.287469287469287
5400-6000, 225739, 444983, 15, 253, 218, 128, 122, 0, 26.464818763326225
6000-6600, 237671, 414293, 17, 239, 202, 136, 94, 0, 19.062330623306234
6600-7200, 345275, 473416, 15, 276, 225, 203, 91, 0, 13.4
7200-7800, 341462, 567622, 17, 319, 257, 193, 120, 0, 20.816425120772948
7800-8400, 438261, 804406, 15, 423, 267, 242, 178, 0, 34.32111861137898
