Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91468, 91852, 1, 191, None, 189, 2, 0, 0.22417763157894738
600-1200, 91110, 91848, 6, 158, 157, 156, 2, 0, 0.2576007541833608
1200-1800, 98491, 106492, 12, 119, 115, 110, 6, 0, 0.4866962305986696
1800-2400, 102666, 113636, 15, 100, 96, 91, 6, 0, 0.5226030799801291
2400-3000, 112879, 139990, 9, 102, 95, 84, 20, 0, 2.1421080230728893
3000-3600, 131658, 162211, 16, 114, 101, 91, 26, 0, 3.0502762430939225
3600-4200, 132776, 186163, 21, 114, 95, 78, 31, 0, 4.321197886083382
4200-4800, 130381, 195596, 15, 107, 89, 73, 30, 0, 3.521826729348556
4800-5400, 165918, 230127, 29, 121, 97, 86, 33, 0, 4.101364522417154
5400-6000, 177548, 324154, 25, 162, 128, 91, 67, 0, 14.093854748603352
6000-6600, 213104, 378846, 29, 177, 146, 101, 72, 0, 13.782224532224532
6600-7200, 246633, 380521, 16, 171, 130, 117, 59, 0, 9.632911392405063
7200-7800, 295588, 539840, 33, 220, 166, 122, 92, 0, 18.196920205319646
7800-8400, 478240, 653098, 30, 266, 217, 193, 97, 0, 16.686357841053972
