Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90291, 91400, 2, 180, 179, 177, 1, 0, 0.17012503325352488
600-1200, 92698, 94057, 2, 142, 141, 138, 3, 0, 0.20430544272948822
1200-1800, 97303, 116781, 8, 115, 113, 96, 17, 0, 1.4725034199726401
1800-2400, 103150, 111135, 13, 99, 94, 90, 5, 0, 0.4476699770817418
2400-3000, 101798, 128829, 16, 97, 87, 72, 22, 0, 2.3269572953736657
3000-3600, 121932, 153330, 17, 100, 90, 81, 17, 0, 2.025092936802974
3600-4200, 119532, 160489, 25, 90, 78, 66, 20, 0, 2.3776185226019844
4200-4800, 189775, 289971, 23, 151, 131, 98, 69, 0, 12.820884955752213
4800-5400, 262976, 375465, 18, 172, 150, 120, 94, 0, 20.151780137414118
5400-6000, 199375, 283881, 30, 123, 95, 88, 33, 0, 5.178350023843586
6000-6600, 218718, 353101, 27, 152, 123, 97, 51, 0, 8.286138194150064
6600-7200, 262546, 393338, 38, 156, 126, 103, 52, 0, 9.72112557748845
7200-7800, 262790, 550001, 34, 212, 169, 111, 98, 0, 20.66014834794336
7800-8400, 313885, 519821, 38, 199, 128, 120, 76, 0, 12.639827179890023
