Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91368, 91986, 3, 164, 163, 162, 1, 0, 0.06987419245154709
600-1200, 91922, 92761, 4, 135, 134, 133, 1, 0, 0.06866156344235676
1200-1800, 94304, 99235, 8, 89, 87, 84, 3, 0, 0.17501017501017502
1800-2400, 110792, 123789, 7, 83, 79, 75, 12, 0, 0.7987421383647799
2400-3000, 105232, 118998, 8, 69, 64, 61, 6, 0, 0.3232819074333801
3000-3600, 118875, 168994, 12, 84, 70, 57, 22, 0, 2.974182444061962
3600-4200, 123044, 180824, 17, 75, 58, 53, 18, 0, 2.2917241379310345
4200-4800, 144777, 190408, 22, 77, 65, 58, 15, 0, 1.6589379207180255
4800-5400, 152440, 216919, 23, 83, 63, 57, 23, 0, 2.0927914110429446
5400-6000, 213945, 302414, 19, 101, 76, 74, 24, 0, 3.320327249842668
6000-6600, 259641, 429316, 24, 135, 119, 81, 51, 0, 9.745306950786404
6600-7200, 252240, 540915, 24, 164, 135, 77, 84, 0, 20.227682596934176
7200-7800, 264203, 692005, 24, 192, 151, 79, 110, 0, 29.02408671216379
7800-8400, 360738, 610530, 27, 173, 124, 106, 63, 0, 10.993667803214807
