Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90692, 90692, 1, 175, None, 174, 1, 0, 0.14149933065595716
600-1200, 94240, 95254, 4, 148, 147, 145, 2, 0, 0.14698750233165453
1200-1800, 94992, 100379, 6, 94, 91, 90, 2, 0, 0.258309591642925
1800-2400, 102968, 119894, 8, 97, 93, 84, 15, 0, 0.9721216509775525
2400-3000, 106373, 123568, 18, 85, 80, 73, 9, 0, 0.6951690821256039
3000-3600, 111689, 146470, 14, 88, 76, 67, 17, 0, 1.7681577681577683
3600-4200, 123722, 183022, 14, 97, 78, 67, 27, 0, 3.590453460620525
4200-4800, 148489, 235363, 20, 110, 94, 68, 38, 0, 6.122815087396504
4800-5400, 183280, 290004, 24, 124, 105, 77, 54, 0, 10.695923460898502
5400-6000, 208552, 270606, 24, 111, 89, 80, 29, 0, 4.9486788617886175
6000-6600, 242267, 332584, 23, 128, 98, 91, 33, 0, 5.765063054647361
6600-7200, 196395, 306540, 28, 119, 86, 73, 41, 0, 5.630458515283843
7200-7800, 233336, 476531, 25, 164, 130, 82, 77, 0, 15.700885668276973
7800-8400, 366779, 503471, 34, 168, 132, 123, 49, 0, 7.456205894562059
