Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90886, 91529, 3, 179, 178, 176, 2, 0, 0.15791907514450867
600-1200, 90812, 92737, 3, 154, 153, 151, 3, 0, 0.2593845113290497
1200-1800, 96096, 103231, 3, 115, 113, 107, 6, 0, 0.4642857142857143
1800-2400, 101669, 113694, 9, 102, 94, 87, 12, 0, 0.7625
2400-3000, 119736, 146045, 13, 117, 104, 97, 19, 0, 1.9607438016528926
3000-3600, 114791, 138971, 13, 93, 79, 76, 14, 0, 1.2490774907749078
3600-4200, 127829, 267144, 15, 157, 134, 76, 77, 0, 15.484962406015038
4200-4800, 152079, 235390, 17, 137, 106, 85, 45, 0, 7.437285223367698
4800-5400, 168010, 340901, 20, 167, 131, 86, 78, 0, 18.27924791086351
5400-6000, 216684, 273215, 21, 143, 120, 112, 28, 0, 3.371698113207547
6000-6600, 206868, 346440, 25, 160, 128, 93, 62, 0, 9.700262927256793
6600-7200, 255956, 395130, 22, 184, 141, 123, 58, 0, 9.050748752079867
7200-7800, 294936, 418497, 24, 176, 141, 127, 44, 0, 6.758904109589041
7800-8400, 284095, 546091, 22, 229, 185, 116, 106, 0, 21.51617757712566
