Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91409, 91466, 2, 193, 192, 191, 2, 0, 0.2319910514541387
600-1200, 93197, 94906, 3, 152, 150, 149, 2, 0, 0.2358269037235827
1200-1800, 96642, 108287, 7, 125, 120, 109, 14, 0, 0.9018075232046898
1800-2400, 106980, 126348, 9, 116, 111, 100, 14, 0, 1.1384039900249376
2400-3000, 117664, 137986, 15, 112, 105, 96, 13, 0, 1.3038759689922481
3000-3600, 125123, 147384, 16, 111, 98, 88, 18, 0, 1.5243578387953942
3600-4200, 132409, 165616, 19, 115, 96, 90, 18, 0, 2.0471887550200805
4200-4800, 150263, 183928, 17, 126, 107, 103, 23, 0, 2.128412537917088
4800-5400, 165953, 227870, 19, 146, 115, 100, 38, 0, 5.317613089509144
5400-6000, 220337, 295577, 26, 166, 144, 124, 39, 0, 5.244598098530683
6000-6600, 240912, 373004, 24, 193, 156, 123, 63, 0, 11.936274509803921
6600-7200, 259233, 355925, 26, 187, 143, 137, 56, 0, 7.781639928698752
7200-7800, 269577, 460113, 25, 230, 156, 145, 80, 0, 13.672649572649572
7800-8400, 377218, 936363, 26, 427, 328, 172, 251, 0, 71.64369432723863
