Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91335, 91335, 1, 181, None, 180, 1, 0, 0.17187671383130415
600-1200, 91988, 93041, 3, 142, 141, 140, 3, 0, 0.1774193548387097
1200-1800, 92493, 96966, 9, 101, 97, 96, 3, 0, 0.25933609958506226
1800-2400, 102109, 109891, 8, 98, 93, 88, 8, 0, 0.5503802281368821
2400-3000, 108128, 121444, 12, 86, 78, 75, 9, 0, 0.5813777441332324
3000-3600, 137291, 157277, 20, 94, 84, 82, 13, 0, 1.2205937617437053
3600-4200, 135090, 171324, 23, 95, 81, 74, 22, 0, 2.4752758479771146
4200-4800, 130510, 181378, 21, 85, 67, 60, 20, 0, 2.473835813730197
4800-5400, 162943, 220921, 17, 100, 80, 71, 25, 0, 2.82960413080895
5400-6000, 155292, 231090, 30, 101, 70, 64, 34, 0, 4.7779842080817465
6000-6600, 212093, 315452, 30, 126, 98, 81, 40, 0, 6.881992337164751
6600-7200, 195792, 322033, 38, 124, 82, 73, 46, 0, 6.970925470925471
7200-7800, 233652, 363833, 36, 131, 90, 86, 41, 0, 6.053921568627451
7800-8400, 292412, 721851, 41, 235, 165, 102, 129, 0, 32.88054919908467
