Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91216, 92102, 2, 188, 187, 186, 2, 0, 0.20515329419439007
600-1200, 91908, 94345, 10, 154, 152, 151, 2, 0, 0.29694002447980417
1200-1800, 92621, 103421, 14, 112, 104, 101, 9, 0, 0.6413001912045889
1800-2400, 111191, 120791, 7, 108, 101, 100, 12, 0, 0.8543457497612226
2400-3000, 104241, 124166, 13, 96, 85, 81, 13, 0, 1.0494117647058823
3000-3600, 121595, 141048, 17, 99, 84, 81, 14, 0, 1.0433096315449257
3600-4200, 169260, 223724, 17, 127, 114, 96, 44, 0, 6.269932256383533
4200-4800, 153775, 234341, 14, 134, 112, 90, 41, 0, 7.011797752808989
4800-5400, 183190, 287018, 23, 144, 127, 90, 51, 0, 9.829649595687332
5400-6000, 188558, 273669, 21, 134, 109, 86, 43, 0, 6.660736975857687
6000-6600, 239474, 359095, 28, 171, 140, 119, 49, 0, 7.2583965330444205
6600-7200, 253929, 400597, 26, 176, 144, 112, 62, 0, 11.14573732718894
7200-7800, 323459, 888467, 29, 356, 312, 129, 244, 0, 75.75052918052616
7800-8400, 370854, 663138, 25, 268, 206, 152, 126, 0, 26.880122057541413
