Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91232, 91326, 1, 159, None, 157, 1, 0, 0.032297628781684386
600-1200, 91433, 92241, 2, 125, 124, 123, 1, 0, 0.034027221777421936
1200-1800, 110141, 117794, 4, 98, 96, 91, 8, 0, 0.4530646051905025
1800-2400, 113506, 122706, 11, 76, 72, 69, 5, 0, 0.35863671572424477
2400-3000, 106980, 140807, 14, 71, 60, 52, 16, 0, 1.6932569413838696
3000-3600, 113039, 136507, 15, 60, 53, 49, 8, 0, 0.545662100456621
3600-4200, 123270, 180608, 15, 74, 65, 50, 20, 0, 2.9731296101159117
4200-4800, 136934, 203536, 16, 76, 63, 50, 24, 0, 3.6296296296296298
4800-5400, 162288, 222224, 21, 73, 60, 50, 22, 0, 3.276262333139872
5400-6000, 181275, 251695, 24, 80, 62, 57, 20, 0, 2.7286288009179573
6000-6600, 303115, 463043, 27, 143, 121, 86, 58, 0, 12.823697359029264
6600-7200, 213750, 524114, 21, 151, 113, 63, 84, 0, 23.08579565681737
7200-7800, 234779, 589595, 25, 159, 117, 66, 89, 0, 23.46703108985309
7800-8400, 261776, 601355, 29, 149, 121, 63, 82, 0, 19.262361623616236
