Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90543, 90744, 1, 173, None, 171, 2, 0, 0.1327620743378589
600-1200, 92113, 93725, 5, 132, 129, 128, 1, 0, 0.11382785395671567
1200-1800, 94408, 97890, 4, 90, 88, 86, 3, 0, 0.21417525773195875
1800-2400, 100915, 109373, 13, 75, 70, 69, 4, 0, 0.23937823834196892
2400-3000, 108090, 128237, 15, 83, 77, 69, 11, 0, 1.0130402384500745
3000-3600, 112033, 136854, 16, 73, 67, 60, 10, 0, 0.8717948717948718
3600-4200, 119093, 165605, 17, 79, 67, 57, 19, 0, 2.0678346810422283
4200-4800, 142356, 229375, 22, 98, 86, 61, 35, 0, 5.968737939019683
4800-5400, 150171, 201529, 28, 80, 62, 59, 17, 0, 1.9769423558897243
5400-6000, 168081, 258746, 28, 101, 81, 64, 32, 0, 4.5384938998737905
6000-6600, 198792, 339566, 34, 128, 90, 79, 47, 0, 8.750619907899397
6600-7200, 240690, 518853, 26, 169, 143, 80, 87, 0, 23.399891774891774
7200-7800, 205796, 545547, 30, 171, 101, 65, 99, 0, 24.417107829478965
7800-8400, 276254, 449812, 30, 141, 109, 87, 51, 0, 7.548716144917341
