Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90785, 91414, 3, 173, 172, 171, 2, 0, 0.12689804772234273
600-1200, 91205, 91881, 2, 133, 132, 131, 1, 0, 0.1157781367797523
1200-1800, 98033, 104205, 4, 99, 95, 92, 4, 0, 0.2585585585585586
1800-2400, 103048, 117782, 8, 96, 91, 83, 10, 0, 0.5111358574610245
2400-3000, 120716, 134664, 10, 97, 89, 83, 10, 0, 0.7776203966005666
3000-3600, 131162, 150732, 10, 87, 78, 74, 12, 0, 1.0015408320493067
3600-4200, 155772, 196878, 11, 107, 90, 81, 23, 0, 2.6320474777448073
4200-4800, 183433, 244524, 13, 126, 102, 95, 29, 0, 3.6024279210925645
4800-5400, 177768, 231050, 13, 111, 89, 85, 22, 0, 2.5567765567765566
5400-6000, 209645, 355399, 12, 142, 105, 85, 53, 0, 8.916422287390029
6000-6600, 298729, 558634, 13, 220, 181, 121, 97, 0, 19.13781697905182
6600-7200, 291694, 534208, 15, 210, 155, 115, 89, 0, 16.357506361323153
7200-7800, 268906, 446513, 17, 184, 118, 114, 62, 0, 10.838068181818182
7800-8400, 465715, 722166, 19, 270, 219, 178, 86, 0, 16.951536643026003
