Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90815, 91878, 1, 195, None, 192, 2, 0, 0.24745166959578208
600-1200, 90753, 91279, 3, 155, 154, 153, 3, 0, 0.2548618219037871
1200-1800, 97516, 102988, 5, 131, 127, 123, 6, 0, 0.3657289002557545
1800-2400, 107072, 127299, 8, 137, 131, 113, 22, 0, 1.127659574468085
2400-3000, 109507, 139217, 8, 122, 111, 96, 23, 0, 1.8992805755395683
3000-3600, 115036, 132975, 10, 107, 98, 94, 9, 0, 0.7016393442622951
3600-4200, 144780, 176335, 14, 133, 117, 106, 24, 0, 1.8234398782343988
4200-4800, 210175, 274126, 13, 185, 163, 138, 56, 0, 8.229813664596273
4800-5400, 238950, 309566, 16, 204, 179, 157, 43, 0, 5.524503311258278
5400-6000, 252275, 333441, 17, 219, 182, 162, 52, 0, 6.156695156695156
6000-6600, 242929, 468104, 18, 269, 224, 135, 130, 0, 30.51486325802616
6600-7200, 300289, 549004, 15, 292, 239, 158, 129, 0, 24.169249106078667
7200-7800, 407566, 527709, 14, 256, 206, 202, 52, 0, 6.954088952654232
7800-8400, 389014, 538812, 18, 273, 225, 196, 72, 0, 11.096491228070175
