Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90090, 91279, 4, 204, 203, 202, 2, 0, 0.3025122121423587
600-1200, 93200, 94540, 4, 166, 164, 163, 2, 0, 0.3017159199237369
1200-1800, 96086, 106805, 7, 138, 135, 120, 16, 0, 1.2127831715210355
1800-2400, 107549, 131384, 12, 125, 118, 103, 25, 0, 2.335576923076923
2400-3000, 117525, 148185, 9, 126, 119, 103, 21, 0, 2.1558282208588957
3000-3600, 127558, 154110, 15, 120, 108, 100, 16, 0, 1.634393063583815
3600-4200, 195677, 249312, 10, 170, 144, 132, 49, 0, 8.459677419354838
4200-4800, 146498, 240087, 10, 158, 128, 97, 58, 0, 6.68567454798331
4800-5400, 173382, 346367, 12, 220, 200, 114, 104, 0, 23.508630609896432
5400-6000, 201177, 317425, 18, 191, 148, 124, 60, 0, 9.136858475894245
6000-6600, 285976, 407292, 15, 235, 196, 164, 66, 0, 9.368707482993198
6600-7200, 318793, 613962, 17, 311, 248, 165, 142, 0, 30.64476614699332
7200-7800, 318738, 424367, 15, 241, 178, 176, 58, 0, 8.229773462783172
7800-8400, 401570, 713561, 17, 375, 312, 223, 162, 0, 35.07166853303472
