Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90294, 90642, 1, 162, None, 160, 2, 0, 0.0659836777218267
600-1200, 90751, 91440, 3, 126, 125, 124, 1, 0, 0.05001237930180738
1200-1800, 96148, 102417, 7, 94, 88, 87, 4, 0, 0.20582288718156086
1800-2400, 110447, 119545, 7, 82, 78, 76, 15, 0, 1.1414634146341462
2400-3000, 140628, 167109, 11, 93, 89, 78, 29, 0, 2.974924774322969
3000-3600, 115924, 151972, 16, 76, 61, 58, 15, 0, 1.4123376623376624
3600-4200, 124430, 180786, 16, 80, 63, 54, 23, 0, 3.1495901639344264
4200-4800, 144463, 262923, 15, 103, 86, 61, 39, 0, 8.145615002757859
4800-5400, 187210, 254461, 23, 95, 75, 71, 20, 0, 3.14621409921671
5400-6000, 174166, 278047, 17, 93, 66, 60, 31, 0, 4.639614855570839
6000-6600, 219929, 481274, 23, 148, 116, 69, 76, 0, 16.634234234234235
6600-7200, 258980, 357233, 27, 113, 90, 83, 28, 0, 3.7897918065815985
7200-7800, 319233, 505303, 28, 149, 119, 96, 49, 0, 8.020408163265307
7800-8400, 355392, 536343, 25, 145, 112, 97, 56, 0, 8.216004476776721
