Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91096, 91707, 4, 188, 187, 186, 2, 0, 0.2096837172979305
600-1200, 93006, 93692, 3, 155, 154, 153, 2, 0, 0.16300820767322008
1200-1800, 95443, 98452, 7, 106, 104, 101, 3, 0, 0.3325864276568502
1800-2400, 103875, 113109, 13, 94, 90, 86, 5, 0, 0.4318004676539361
2400-3000, 104608, 128505, 10, 86, 78, 69, 15, 0, 1.2704576976421638
3000-3600, 111666, 148479, 21, 86, 68, 62, 20, 0, 1.969056974459725
3600-4200, 120008, 170544, 17, 92, 80, 65, 23, 0, 2.9299163179916317
4200-4800, 135797, 200879, 24, 104, 89, 70, 32, 0, 4.179447852760736
4800-5400, 151430, 241313, 21, 116, 95, 76, 36, 0, 5.508173076923077
5400-6000, 177091, 312729, 32, 133, 86, 76, 54, 0, 9.09808292465448
6000-6600, 184961, 313273, 28, 138, 112, 80, 54, 0, 9.131171345595353
6600-7200, 252756, 386016, 36, 158, 130, 104, 51, 0, 9.368021438142028
7200-7800, 256306, 553485, 34, 209, 151, 94, 111, 0, 25.637047163362954
7800-8400, 308269, 579737, 34, 214, 148, 122, 105, 0, 23.120014119308156
