Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90197, 90662, 1, 160, None, 158, 1, 0, 0.05239179954441914
600-1200, 91211, 91938, 3, 127, 126, 125, 1, 0, 0.07852270836799201
1200-1800, 95455, 136954, 7, 112, 110, 77, 33, 0, 4.594663030775224
1800-2400, 99717, 107714, 10, 61, 56, 55, 3, 0, 0.15738317757009346
2400-3000, 118857, 145020, 9, 70, 64, 56, 14, 0, 1.5675477239353892
3000-3600, 123182, 165236, 16, 81, 67, 59, 19, 0, 2.1981020166073546
3600-4200, 121338, 171339, 18, 69, 52, 46, 20, 0, 2.5974264705882355
4200-4800, 135084, 234745, 22, 86, 74, 50, 33, 0, 5.831426392067124
4800-5400, 152743, 210215, 23, 69, 52, 48, 17, 0, 2.0726040658276865
5400-6000, 153232, 368718, 24, 113, 93, 51, 59, 0, 15.675486133248327
6000-6600, 187206, 332598, 22, 98, 81, 55, 41, 0, 7.523131672597865
6600-7200, 198706, 339797, 28, 91, 62, 51, 37, 0, 6.508021390374331
7200-7800, 228329, 350728, 25, 97, 69, 63, 31, 0, 4.033083370092633
7800-8400, 308528, 639137, 35, 153, 111, 74, 77, 0, 17.921295004186437
