Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90359, 91180, 6, 171, 170, 169, 1, 0, 0.1213532392822901
600-1200, 91314, 93070, 8, 138, 137, 136, 2, 0, 0.13271604938271606
1200-1800, 95244, 97658, 4, 105, 102, 100, 3, 0, 0.25902715607281407
1800-2400, 102166, 110435, 13, 84, 80, 77, 5, 0, 0.3965587873822204
2400-3000, 107035, 122757, 11, 77, 69, 65, 9, 0, 0.7179863147605083
3000-3600, 136466, 159692, 13, 93, 83, 77, 22, 0, 2.5913354175971417
3600-4200, 120161, 159650, 17, 80, 69, 59, 19, 0, 1.8761492698756084
4200-4800, 193979, 264146, 18, 123, 106, 90, 49, 0, 7.838387869114126
4800-5400, 162794, 283995, 25, 125, 97, 76, 48, 0, 9.165012406947891
5400-6000, 197412, 325627, 29, 141, 104, 87, 51, 0, 7.7012324691882705
6000-6600, 213957, 339813, 33, 134, 100, 83, 48, 0, 8.587026039287347
6600-7200, 232507, 336770, 23, 126, 88, 86, 43, 0, 5.561866125760649
7200-7800, 249078, 468172, 28, 157, 129, 82, 71, 0, 13.363901625677366
7800-8400, 270737, 675711, 27, 219, 167, 92, 124, 0, 31.801369863013697
