Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90788, 91615, 1, 188, None, 185, 2, 0, 0.21465880370682391
600-1200, 91930, 93173, 4, 151, 149, 148, 2, 0, 0.1852561033987554
1200-1800, 94237, 99929, 7, 111, 108, 104, 4, 0, 0.3888677087304613
1800-2400, 97776, 113025, 10, 96, 90, 83, 10, 0, 0.7300706357214934
2400-3000, 119654, 144188, 11, 104, 97, 86, 19, 0, 1.7758264462809918
3000-3600, 112978, 140179, 15, 94, 84, 74, 17, 0, 1.5227272727272727
3600-4200, 128297, 196444, 19, 117, 102, 76, 37, 0, 6.2641186537364515
4200-4800, 143527, 222112, 22, 128, 110, 87, 38, 0, 6.586326767091541
4800-5400, 160362, 214576, 20, 110, 87, 81, 25, 0, 2.934989043097151
5400-6000, 215505, 299005, 17, 153, 123, 114, 37, 0, 6.45214899713467
6000-6600, 211899, 318018, 25, 148, 109, 99, 45, 0, 7.188182402055235
6600-7200, 197967, 417477, 26, 176, 149, 82, 89, 0, 18.14293361884368
7200-7800, 263962, 529281, 30, 228, 187, 116, 108, 0, 23.902939804013066
7800-8400, 268214, 487563, 31, 201, 131, 120, 76, 0, 14.033510638297873
