Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 92454, 92454, 1, 176, None, 175, 1, 0, 0.1354642313546423
600-1200, 90826, 91964, 2, 144, 143, 141, 2, 0, 0.14742494508176715
1200-1800, 94959, 99928, 7, 105, 102, 97, 5, 0, 0.3255360623781676
1800-2400, 103974, 137306, 11, 107, 97, 78, 27, 0, 2.5757575757575757
2400-3000, 108220, 123906, 13, 85, 76, 72, 11, 0, 0.807307012374779
3000-3600, 121037, 195728, 19, 116, 106, 69, 43, 0, 6.859891465219536
3600-4200, 150551, 181056, 22, 101, 88, 79, 22, 0, 2.265644955300128
4200-4800, 139384, 192019, 15, 98, 83, 72, 23, 0, 2.4933051444679353
4800-5400, 164848, 219589, 21, 104, 78, 76, 25, 0, 3.1838028169014083
5400-6000, 185765, 414249, 19, 188, 143, 91, 95, 0, 24.51511111111111
6000-6600, 205308, 474843, 22, 202, 176, 88, 111, 0, 29.476335214937038
6600-7200, 282995, 778376, 28, 300, 267, 109, 189, 0, 54.54442748091603
7200-7800, 322588, 523266, 26, 198, 164, 122, 74, 0, 15.635940409683426
7800-8400, 504825, 693034, 32, 261, 204, 192, 114, 0, 22.15139116202946
