Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90184, 91436, 3, 160, 159, 157, 1, 0, 0.05248769819573537
600-1200, 91467, 92834, 3, 127, 126, 124, 1, 0, 0.06319627304030788
1200-1800, 98611, 104154, 7, 86, 84, 81, 3, 0, 0.14044253226797787
1800-2400, 112885, 138794, 9, 81, 76, 64, 14, 0, 1.2754841066861526
2400-3000, 109298, 120950, 10, 65, 59, 58, 4, 0, 0.25212606303151575
3000-3600, 120142, 165891, 12, 83, 73, 58, 22, 0, 2.272265805260729
3600-4200, 121353, 159687, 13, 67, 58, 48, 16, 0, 1.6049457177322075
4200-4800, 131419, 233106, 11, 84, 71, 50, 32, 0, 5.804543303360151
4800-5400, 207851, 264172, 19, 88, 72, 67, 31, 0, 3.729032258064516
5400-6000, 202316, 324940, 23, 98, 80, 61, 35, 0, 6.616055045871559
6000-6600, 198797, 353198, 27, 113, 95, 62, 48, 0, 7.657102539981185
6600-7200, 233434, 327209, 24, 90, 67, 66, 25, 0, 3.451523545706371
7200-7800, 219034, 548074, 32, 140, 95, 60, 77, 0, 20.62820989951619
7800-8400, 276902, 548550, 29, 141, 105, 75, 61, 0, 13.356224899598393
