Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91403, 91924, 1, 188, None, 186, 2, 0, 0.20383314543404735
600-1200, 91566, 93479, 4, 148, 146, 145, 2, 0, 0.2293894446360814
1200-1800, 98466, 103619, 7, 110, 107, 104, 4, 0, 0.35002721829069133
1800-2400, 99872, 109647, 10, 88, 80, 77, 7, 0, 0.45752143413873736
2400-3000, 110534, 163985, 11, 116, 108, 77, 36, 0, 4.824538258575198
3000-3600, 196967, 235979, 13, 162, 152, 134, 41, 0, 6.737472766884531
3600-4200, 137608, 215355, 15, 127, 107, 75, 48, 0, 7.848091603053435
4200-4800, 147254, 215677, 12, 120, 105, 78, 39, 0, 5.873655913978495
4800-5400, 163864, 225989, 20, 114, 87, 84, 26, 0, 2.9711729622266403
5400-6000, 220374, 351607, 21, 176, 152, 110, 77, 0, 14.14188679245283
6000-6600, 261852, 453612, 24, 203, 171, 115, 83, 0, 16.492008339124393
6600-7200, 293581, 475035, 24, 212, 164, 134, 76, 0, 12.495708154506438
7200-7800, 255053, 469360, 21, 202, 156, 111, 87, 0, 15.069455406471981
7800-8400, 326495, 586217, 24, 239, 177, 125, 108, 0, 23.236822001527884
