Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90424, 90580, 1, 174, None, 172, 1, 0, 0.13902714932126697
600-1200, 92718, 94957, 8, 136, 133, 132, 2, 0, 0.12348547717842323
1200-1800, 95588, 100987, 6, 92, 87, 86, 4, 0, 0.28960726689821
1800-2400, 102675, 109625, 11, 81, 76, 74, 4, 0, 0.3063564875491481
2400-3000, 111074, 128477, 15, 85, 72, 71, 11, 0, 1.0709534368070954
3000-3600, 152204, 178849, 16, 98, 92, 83, 29, 0, 3.7568099770265837
3600-4200, 159101, 181668, 25, 90, 79, 77, 22, 0, 2.248465002046664
4200-4800, 136588, 190985, 26, 91, 71, 66, 24, 0, 3.209507042253521
4800-5400, 157479, 214777, 28, 90, 69, 65, 22, 0, 2.6282560706401767
5400-6000, 158541, 296146, 26, 116, 98, 67, 46, 0, 8.572346052134492
6000-6600, 190723, 289272, 26, 101, 79, 68, 32, 0, 5.101287553648069
6600-7200, 221015, 617244, 31, 203, 126, 80, 120, 0, 33.91247755834829
7200-7800, 219056, 342758, 33, 114, 85, 72, 39, 0, 5.472711267605634
7800-8400, 282910, 487208, 37, 148, 97, 89, 55, 0, 11.070689655172414
