Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90793, 91457, 3, 193, 192, 191, 2, 0, 0.23132151671527934
600-1200, 92101, 92568, 3, 168, 167, 166, 2, 0, 0.2840727736993297
1200-1800, 97417, 101329, 6, 122, 119, 115, 5, 0, 0.4136504653567735
1800-2400, 103258, 109646, 7, 100, 94, 92, 5, 0, 0.44270462633451957
2400-3000, 111772, 130990, 15, 114, 106, 97, 13, 0, 1.082612116443745
3000-3600, 160948, 187107, 17, 139, 129, 118, 24, 0, 3.0608817354793563
3600-4200, 121287, 177073, 17, 112, 95, 75, 33, 0, 4.666666666666667
4200-4800, 159077, 224578, 14, 140, 124, 105, 38, 0, 5.41320293398533
4800-5400, 161687, 247123, 21, 148, 119, 99, 44, 0, 6.674841053587648
5400-6000, 180889, 266173, 25, 153, 122, 101, 47, 0, 7.140267175572519
6000-6600, 236813, 381289, 25, 193, 157, 118, 68, 0, 10.021862348178137
6600-7200, 295634, 472506, 26, 232, 188, 149, 104, 0, 18.854625550660792
7200-7800, 273262, 455714, 24, 217, 164, 131, 83, 0, 15.432561851556265
7800-8400, 302689, 436723, 23, 212, 155, 150, 62, 0, 9.240146654445462
