Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90340, 90811, 3, 156, 155, 154, 1, 0, 0.02607025246981339
600-1200, 93800, 94885, 2, 128, 127, 126, 3, 0, 0.067348514087225
1200-1800, 94879, 100444, 5, 88, 86, 82, 4, 0, 0.2505628819556127
1800-2400, 134543, 139968, 10, 90, 87, 86, 15, 0, 1.3294520547945206
2400-3000, 133970, 155657, 9, 86, 80, 74, 14, 0, 1.5468930914704748
3000-3600, 124276, 170079, 16, 80, 72, 60, 17, 0, 2.299395629939563
3600-4200, 128589, 158784, 16, 64, 53, 51, 11, 0, 0.9963702359346642
4200-4800, 145027, 267191, 16, 99, 86, 56, 41, 0, 8.62983193277311
4800-5400, 165247, 240876, 22, 81, 68, 56, 21, 0, 2.881373569198751
5400-6000, 171169, 245763, 17, 81, 60, 57, 21, 0, 2.8590033975084936
6000-6600, 234729, 344499, 26, 104, 82, 71, 40, 0, 6.508266414737837
6600-7200, 226400, 453773, 25, 124, 90, 69, 52, 0, 11.596363636363636
7200-7800, 247888, 452081, 28, 122, 95, 67, 52, 0, 9.994175627240143
7800-8400, 270845, 570934, 27, 145, 92, 70, 69, 0, 16.18567426970788
