Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91555, 91728, 5, 186, 185, 184, 2, 0, 0.19425962165688193
600-1200, 92546, 94403, 5, 151, 149, 148, 2, 0, 0.18586640851887706
1200-1800, 93180, 121810, 8, 126, 122, 93, 30, 0, 3.6511062484804278
1800-2400, 98728, 114135, 13, 90, 84, 77, 10, 0, 0.6454918032786885
2400-3000, 116550, 136416, 9, 100, 90, 85, 12, 0, 1.2995633187772926
3000-3600, 116594, 133668, 17, 86, 77, 74, 9, 0, 0.739946380697051
3600-4200, 116797, 160346, 18, 95, 74, 68, 25, 0, 2.615859938208033
4200-4800, 146547, 227017, 16, 120, 97, 74, 42, 0, 7.457432730480812
4800-5400, 167561, 260442, 28, 121, 93, 76, 42, 0, 6.815704387990762
5400-6000, 181130, 372223, 31, 164, 130, 85, 75, 0, 15.630497476568133
6000-6600, 270532, 375991, 26, 158, 123, 117, 73, 0, 10.751947519475195
6600-7200, 220206, 365458, 26, 145, 113, 86, 53, 0, 9.508953817153628
7200-7800, 232321, 385372, 27, 151, 98, 92, 57, 0, 8.229716520039101
7800-8400, 307914, 487341, 28, 187, 133, 112, 70, 0, 13.271958098307817
