Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90729, 90729, 1, 160, None, 159, 1, 0, 0.05218216318785579
600-1200, 91078, 91288, 2, 138, 137, 136, 1, 0, 0.05225281602002503
1200-1800, 94888, 100455, 8, 90, 88, 84, 4, 0, 0.19193639977285634
1800-2400, 102710, 111023, 8, 76, 73, 69, 6, 0, 0.2866868381240545
2400-3000, 122535, 138290, 15, 81, 77, 71, 8, 0, 0.6955074875207987
3000-3600, 117374, 145441, 12, 77, 68, 59, 13, 0, 1.1877431906614786
3600-4200, 151345, 231724, 11, 103, 91, 68, 31, 0, 5.473085670962851
4200-4800, 133930, 248636, 13, 113, 99, 62, 49, 0, 8.10889443059019
4800-5400, 174787, 301909, 20, 118, 99, 70, 44, 0, 7.377887788778878
5400-6000, 199289, 304390, 17, 108, 92, 71, 34, 0, 4.977207977207978
6000-6600, 196903, 372456, 18, 134, 100, 72, 60, 0, 10.975460122699387
6600-7200, 388335, 605673, 22, 204, 165, 131, 74, 0, 14.879453681710213
7200-7800, 242498, 537167, 19, 184, 136, 89, 91, 0, 21.8212927756654
7800-8400, 363724, 578245, 22, 176, 128, 113, 57, 0, 10.699846860643186
