Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90695, 90695, 1, 165, None, 164, 1, 0, 0.08378191856452726
600-1200, 91239, 92669, 4, 136, 135, 132, 2, 0, 0.11434799841458582
0-600, 90714, 91306, 1, 171, None, 169, 1, 0, 0.11202149093351242
1200-1800, 96036, 104673, 6, 104, 97, 96, 6, 0, 0.31477642878294343
600-1200, 92600, 94667, 7, 145, 144, 143, 2, 0, 0.15206701875796758
1800-2400, 98232, 118190, 10, 95, 87, 81, 11, 0, 1.0019004180919802
2400-3000, 104758, 123390, 16, 80, 75, 68, 9, 0, 0.7713310580204779
1200-1800, 95800, 100094, 13, 95, 92, 90, 3, 0, 0.19408866995073892
1800-2400, 103433, 113638, 9, 87, 82, 78, 7, 0, 0.4746809386578839
3000-3600, 142094, 161072, 13, 97, 82, 78, 22, 0, 2.1578231292517005
3600-4200, 160495, 193368, 19, 96, 82, 78, 25, 0, 3.461354961832061
2400-3000, 105503, 166898, 12, 105, 99, 67, 36, 0, 4.792075608869502
4200-4800, 142857, 181960, 21, 92, 75, 74, 14, 0, 1.379073756432247
3000-3600, 114832, 142123, 15, 79, 67, 60, 16, 0, 1.0169133192389006
3600-4200, 123688, 154906, 25, 75, 63, 58, 14, 0, 1.2718998862343571
4800-5400, 153670, 307507, 20, 132, 109, 68, 61, 0, 11.785412667946257
4200-4800, 135292, 188658, 24, 104, 83, 74, 26, 0, 3.0348899624261945
4800-5400, 156982, 225612, 22, 102, 83, 74, 28, 0, 4.102498725140235
5400-6000, 151954, 364429, 23, 146, 101, 59, 85, 0, 20.48796263025512
5400-6000, 158698, 247214, 27, 106, 78, 69, 34, 0, 4.74781181619256
6000-6600, 201640, 343614, 21, 131, 108, 76, 50, 0, 7.856060606060606
6000-6600, 207122, 482618, 17, 176, 136, 80, 93, 0, 24.45636070853462
6600-7200, 208668, 395521, 30, 149, 121, 79, 66, 0, 11.936297563061137
7200-7800, 232454, 438622, 25, 152, 90, 79, 68, 0, 13.806605823554976
6600-7200, 227305, 550816, 26, 197, 149, 81, 111, 0, 30.57302672467371
7800-8400, 274452, 464521, 27, 153, 105, 94, 56, 0, 9.262109551833408
7200-7800, 218064, 339169, 24, 131, 87, 80, 44, 0, 5.820249052517596
7800-8400, 283826, 401192, 30, 143, 108, 101, 44, 0, 4.832416208104052
