Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91803, 92727, 3, 169, 168, 167, 1, 0, 0.09634670487106017
600-1200, 91951, 92487, 2, 135, 134, 132, 1, 0, 0.11689691817215728
1200-1800, 97354, 102453, 6, 101, 97, 95, 4, 0, 0.2779291553133515
1800-2400, 103944, 117757, 8, 97, 93, 85, 10, 0, 0.7347161572052402
2400-3000, 111260, 136965, 9, 92, 78, 75, 15, 0, 0.9773936170212766
3000-3600, 127988, 159326, 13, 93, 77, 75, 15, 0, 1.3694083694083694
3600-4200, 135604, 171769, 12, 96, 81, 77, 17, 0, 1.6723259762308997
4200-4800, 156793, 204838, 17, 105, 90, 78, 23, 0, 2.658135283363803
4800-5400, 178887, 290863, 17, 137, 119, 84, 49, 0, 7.565731166912851
5400-6000, 255278, 435485, 16, 205, 182, 122, 77, 0, 13.94815668202765
6000-6600, 276184, 385567, 13, 177, 141, 127, 44, 0, 6.857938718662953
6600-7200, 326623, 495241, 16, 207, 171, 136, 67, 0, 9.169426751592356
7200-7800, 329524, 517581, 19, 206, 153, 135, 65, 0, 12.292307692307693
7800-8400, 301427, 442270, 14, 181, 127, 124, 53, 0, 7.5536
0-600, 91382, 92185, 3, 168, 167, 166, 1, 0, 0.08741007194244604
600-1200, 91834, 93663, 2, 136, 134, 133, 1, 0, 0.14139784946236558
1200-1800, 96666, 111734, 7, 109, 104, 94, 12, 0, 0.7522859517871987
1800-2400, 118860, 127207, 7, 99, 94, 92, 11, 0, 0.5842931937172775
2400-3000, 113664, 130968, 12, 87, 79, 75, 8, 0, 0.5516759776536313
3000-3600, 128595, 171409, 11, 101, 92, 76, 22, 0, 2.335579514824798
3600-4200, 131489, 167428, 10, 91, 77, 70, 18, 0, 1.6711864406779662
4200-4800, 147255, 230478, 15, 122, 92, 81, 39, 0, 5.208398133748056
4800-5400, 205259, 294723, 13, 133, 107, 91, 36, 0, 5.823357664233576
5400-6000, 222783, 380607, 16, 161, 129, 98, 59, 0, 11.723495702005732
6000-6600, 246757, 316402, 14, 131, 108, 105, 25, 0, 2.893653516295026
6600-7200, 288609, 447189, 16, 188, 151, 129, 52, 0, 8.576023391812866
7200-7800, 390268, 712016, 11, 279, 244, 163, 114, 0, 24.02828282828283
7800-8400, 392549, 598444, 14, 239, 195, 157, 78, 0, 12.190871369294605
