Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90168, 90778, 3, 159, 158, 157, 1, 0, 0.04535686008370094
600-1200, 90981, 93102, 3, 120, 118, 117, 1, 0, 0.06395250212044105
1200-1800, 97981, 104572, 8, 86, 84, 79, 5, 0, 0.28474221408008377
1800-2400, 96963, 127491, 8, 81, 77, 60, 18, 0, 1.8690367669401398
2400-3000, 103236, 134551, 14, 63, 56, 50, 11, 0, 0.9230769230769231
3000-3600, 110686, 139310, 10, 64, 56, 50, 11, 0, 0.8149659863945579
3600-4200, 123850, 156329, 18, 65, 51, 50, 11, 0, 0.9937167713871435
4200-4800, 148222, 233637, 20, 80, 70, 50, 27, 0, 4.346123727486296
4800-5400, 151325, 251061, 27, 80, 64, 47, 31, 0, 5.457271980279375
5400-6000, 179571, 303148, 23, 88, 73, 54, 31, 0, 5.84764865915274
6000-6600, 174156, 289375, 23, 84, 64, 51, 30, 0, 4.602745792736935
6600-7200, 225023, 341589, 29, 97, 73, 65, 29, 0, 3.5327022375215145
7200-7800, 253370, 460976, 28, 122, 97, 70, 48, 0, 10.878694158075602
7800-8400, 336002, 611568, 27, 154, 93, 90, 61, 0, 13.890955198647505
