Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90837, 92275, 1, 200, None, 196, 2, 0, 0.26240652617267163
600-1200, 92589, 93355, 3, 148, 147, 146, 2, 0, 0.27586206896551724
1200-1800, 94817, 97928, 5, 116, 112, 110, 4, 0, 0.3126079447322971
1800-2400, 102896, 112332, 9, 112, 107, 101, 8, 0, 0.4533799533799534
2400-3000, 113234, 137832, 7, 111, 100, 91, 18, 0, 1.5432873274780428
0-600, 90765, 90765, 1, 203, None, 202, 2, 0, 0.2906857727737973
3000-3600, 129377, 185558, 16, 140, 124, 94, 40, 0, 4.569095477386934
3600-4200, 139185, 183166, 14, 140, 115, 105, 32, 0, 3.5724431818181817
600-1200, 91438, 92575, 2, 164, 162, 160, 2, 0, 0.33024691358024694
4200-4800, 150205, 215817, 14, 142, 122, 98, 39, 0, 5.185185185185185
1200-1800, 94908, 99896, 7, 115, 111, 106, 4, 0, 0.278503046127067
1800-2400, 100476, 106466, 10, 103, 98, 97, 3, 0, 0.29856115107913667
4800-5400, 224463, 297925, 17, 194, 166, 143, 45, 0, 7.554089709762533
5400-6000, 233723, 315178, 14, 192, 147, 138, 48, 0, 6.534562211981567
2400-3000, 117775, 154888, 8, 136, 130, 102, 31, 0, 2.908433734939759
6000-6600, 240144, 345503, 14, 207, 164, 140, 60, 0, 8.287319422150883
3000-3600, 139943, 216273, 12, 169, 159, 108, 58, 0, 10.335751295336788
6600-7200, 301619, 527160, 17, 274, 229, 160, 110, 0, 23.112101910828027
3600-4200, 126342, 183845, 16, 128, 99, 90, 34, 0, 4.110944527736132
4200-4800, 169998, 207025, 14, 142, 118, 114, 24, 0, 2.850420168067227
7200-7800, 319381, 505327, 18, 270, 205, 174, 88, 0, 15.049346879535559
4800-5400, 193429, 261631, 14, 165, 132, 118, 47, 0, 6.465317919075145
7800-8400, 363450, 454695, 16, 251, 204, 200, 46, 0, 7.57667731629393
5400-6000, 223644, 397864, 9, 237, 196, 135, 105, 0, 22.5653798256538
6000-6600, 278389, 425033, 15, 250, 177, 159, 96, 0, 17.59556786703601
6600-7200, 322940, 490329, 13, 262, 202, 169, 107, 0, 19.491503267973854
7200-7800, 393071, 708788, 15, 389, 339, 227, 158, 0, 33.21868787276342
7800-8400, 331222, 587300, 16, 317, 250, 172, 139, 0, 26.62109375
