Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90128, 90152, 1, 159, None, 157, 1, 0, 0.04551772063933287
600-1200, 90782, 92516, 3, 131, 129, 128, 1, 0, 0.10291462470982718
1200-1800, 95545, 99746, 9, 82, 79, 78, 1, 0, 0.1449403446752099
1800-2400, 98611, 106936, 6, 73, 69, 67, 4, 0, 0.23755411255411255
2400-3000, 137528, 147900, 12, 79, 74, 72, 12, 0, 1.296211251435132
3000-3600, 125571, 159046, 14, 83, 74, 64, 17, 0, 1.9975093399750934
3600-4200, 126252, 184463, 14, 83, 69, 60, 21, 0, 2.663271801400382
4200-4800, 145515, 242067, 20, 93, 84, 56, 34, 0, 5.976406533575318
4800-5400, 141759, 217605, 17, 80, 64, 48, 28, 0, 3.643302180685358
5400-6000, 161721, 228673, 17, 75, 56, 53, 20, 0, 2.0334448160535117
6000-6600, 183650, 249237, 24, 78, 57, 55, 19, 0, 1.7042372881355932
6600-7200, 221433, 334403, 25, 107, 86, 69, 33, 0, 5.057815845824411
7200-7800, 429113, 778508, 26, 228, 199, 131, 124, 0, 30.081724137931033
7800-8400, 334660, 538579, 27, 152, 117, 93, 54, 0, 9.94526795895097
