Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90940, 91003, 1, 184, None, 182, 2, 0, 0.18898363678266883
600-1200, 91380, 92323, 6, 148, 147, 146, 2, 0, 0.20438194898626552
1200-1800, 99825, 108385, 7, 111, 108, 100, 8, 0, 0.42723263506063947
1800-2400, 106734, 118315, 7, 103, 98, 91, 10, 0, 0.6491344873501997
0-600, 90782, 91292, 1, 186, None, 183, 2, 0, 0.19584500466853408
2400-3000, 106489, 121657, 11, 93, 86, 79, 11, 0, 0.7793223284100782
3000-3600, 130272, 161884, 19, 109, 101, 90, 16, 0, 1.902834008097166
600-1200, 90750, 92057, 5, 145, 144, 142, 3, 0, 0.23326210826210828
3600-4200, 133803, 198770, 18, 118, 105, 80, 34, 0, 4.391596638655463
1200-1800, 98974, 103136, 8, 115, 111, 109, 3, 0, 0.27173347214992194
4200-4800, 147053, 190909, 17, 102, 86, 77, 22, 0, 2.2787750791974655
1800-2400, 113186, 128611, 11, 103, 96, 88, 14, 0, 1.125
4800-5400, 150143, 289457, 21, 153, 135, 81, 68, 0, 13.2421875
2400-3000, 110066, 120687, 12, 90, 83, 81, 6, 0, 0.4421338155515371
3000-3600, 130728, 148062, 13, 105, 92, 88, 14, 0, 1.159330985915493
5400-6000, 198726, 312796, 19, 160, 125, 105, 51, 0, 7.296389588581024
3600-4200, 137449, 182262, 18, 109, 91, 77, 26, 0, 3.209764918625678
6000-6600, 239410, 333097, 19, 162, 131, 117, 40, 0, 4.090909090909091
4200-4800, 137086, 177522, 20, 99, 84, 77, 18, 0, 1.9878048780487805
4800-5400, 168285, 226074, 19, 118, 98, 86, 25, 0, 3.453016815034619
6600-7200, 285898, 482921, 26, 211, 131, 121, 84, 0, 15.599085365853659
5400-6000, 212041, 352702, 19, 179, 143, 112, 64, 0, 11.935508345978755
7200-7800, 378103, 523755, 23, 229, 202, 170, 55, 0, 8.241221374045802
6000-6600, 233732, 404066, 21, 188, 153, 110, 74, 0, 13.919847328244275
7800-8400, 450772, 610988, 20, 257, 199, 188, 90, 0, 14.583159359777314
6600-7200, 241929, 394942, 22, 180, 131, 104, 74, 0, 11.772077375946173
7200-7800, 292512, 458724, 22, 205, 144, 137, 68, 0, 12.386784850926672
7800-8400, 340810, 486667, 23, 196, 149, 139, 52, 0, 7.9057591623036645
