Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90376, 91057, 1, 171, None, 168, 2, 0, 0.12
600-1200, 94014, 94394, 2, 128, 127, 125, 1, 0, 0.10880964866282118
1200-1800, 95035, 97736, 8, 100, 97, 96, 2, 0, 0.24646464646464647
0-600, 90522, 90792, 1, 176, None, 174, 2, 0, 0.14969450101832993
1800-2400, 124788, 137483, 11, 106, 102, 95, 13, 0, 1.2831632653061225
600-1200, 90818, 91973, 3, 145, 143, 142, 2, 0, 0.22266600099850226
2400-3000, 106996, 124353, 10, 84, 76, 71, 9, 0, 0.6743620899149453
1200-1800, 96239, 100236, 5, 104, 102, 99, 5, 0, 0.2987755102040816
3000-3600, 111768, 156772, 16, 91, 82, 63, 25, 0, 3.01271186440678
1800-2400, 109368, 119420, 11, 102, 96, 92, 15, 0, 1.14818310523832
3600-4200, 126871, 183177, 20, 99, 88, 69, 27, 0, 3.734234234234234
2400-3000, 124373, 143239, 12, 98, 88, 86, 13, 0, 1.1698513800424628
4200-4800, 135276, 243011, 17, 132, 107, 76, 52, 0, 10.241304347826087
3000-3600, 119608, 148876, 12, 93, 80, 71, 19, 0, 1.763975155279503
4800-5400, 153732, 237464, 23, 109, 78, 70, 34, 0, 5.423890784982935
3600-4200, 129193, 170735, 19, 97, 79, 74, 20, 0, 2.4392712550607287
4200-4800, 133697, 188619, 19, 103, 78, 69, 30, 0, 3.7132867132867133
5400-6000, 182557, 436935, 24, 191, 164, 79, 107, 0, 28.035259133389975
4800-5400, 170545, 298433, 18, 135, 112, 79, 52, 0, 9.670370370370371
6000-6600, 190537, 321080, 21, 137, 96, 81, 52, 0, 7.711069418386492
5400-6000, 182523, 236318, 28, 103, 81, 77, 23, 0, 2.7671641791044777
6000-6600, 215227, 336713, 24, 137, 101, 88, 43, 0, 7.007926829268293
6600-7200, 300402, 431808, 26, 170, 133, 119, 48, 0, 7.603140227395777
6600-7200, 235329, 394649, 24, 155, 102, 95, 55, 0, 9.258356940509914
7200-7800, 226307, 449542, 25, 166, 122, 87, 77, 0, 16.89755264655663
7800-8400, 366818, 654579, 29, 232, 172, 133, 94, 0, 20.84394618834081
7200-7800, 362702, 651126, 25, 256, 208, 144, 108, 0, 26.589356632247817
7800-8400, 301857, 649939, 24, 228, 180, 108, 116, 0, 28.128888888888888
