Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90778, 91305, 1, 192, None, 190, 2, 0, 0.23802345058626465
600-1200, 91654, 92271, 5, 152, 151, 150, 2, 0, 0.23924050632911392
1200-1800, 96410, 101034, 6, 120, 116, 113, 4, 0, 0.4183635690485005
1800-2400, 101214, 110992, 11, 110, 103, 99, 7, 0, 0.4971617786187323
2400-3000, 134546, 171424, 17, 123, 115, 97, 23, 0, 3.391595887349128
3000-3600, 124652, 140526, 13, 98, 90, 83, 20, 0, 1.7758397932816536
3600-4200, 171237, 211853, 16, 122, 103, 99, 40, 0, 5.479591836734694
4200-4800, 141184, 239192, 23, 134, 111, 78, 53, 0, 8.897545357524013
4800-5400, 185842, 405855, 25, 212, 190, 98, 109, 0, 24.810344827586206
5400-6000, 212950, 416564, 18, 203, 154, 105, 93, 0, 18.60445205479452
6000-6600, 211322, 367934, 28, 171, 132, 93, 74, 0, 13.96218020022247
6600-7200, 230215, 374546, 27, 166, 129, 102, 60, 0, 9.429945880938064
7200-7800, 302763, 564819, 22, 247, 202, 130, 113, 0, 24.812388591800357
7800-8400, 328128, 557536, 28, 227, 151, 137, 86, 0, 17.068479355488417
