Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90189, 90192, 1, 175, None, 173, 2, 0, 0.1469893078221722
600-1200, 91234, 91884, 6, 141, 140, 138, 2, 0, 0.1551027281913102
1200-1800, 95766, 98614, 5, 102, 99, 97, 3, 0, 0.3227320125130344
1800-2400, 118484, 125743, 11, 99, 95, 92, 7, 0, 0.5837459947567725
2400-3000, 110732, 125581, 12, 85, 75, 70, 13, 0, 0.9676923076923077
3000-3600, 112971, 141167, 20, 86, 72, 68, 14, 0, 1.3469801378192137
3600-4200, 126274, 173127, 22, 85, 69, 60, 24, 0, 3.0271285475792986
4200-4800, 135846, 211122, 26, 101, 80, 66, 32, 0, 4.683937823834197
4800-5400, 166878, 219142, 31, 99, 81, 74, 23, 0, 2.7784115840280825
5400-6000, 179403, 274154, 23, 116, 80, 70, 42, 0, 6.966327329678935
6000-6600, 224591, 361934, 24, 150, 111, 94, 52, 0, 8.982724252491694
6600-7200, 187855, 356528, 30, 135, 95, 72, 60, 0, 11.999627699180937
7200-7800, 241596, 462155, 38, 173, 138, 89, 81, 0, 14.277886497064578
7800-8400, 351140, 615734, 31, 200, 144, 117, 80, 0, 17.765578635014837
