Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90919, 91692, 6, 168, 167, 166, 1, 0, 0.09484790661129196
0-600, 91244, 91817, 1, 175, None, 173, 1, 0, 0.1289511101389041
600-1200, 90851, 92311, 7, 134, 132, 131, 1, 0, 0.09834200260078023
600-1200, 90712, 91662, 5, 130, 129, 128, 2, 0, 0.08738524311458687
1200-1800, 95017, 129569, 6, 119, 113, 86, 31, 0, 3.9696238181452426
1200-1800, 95401, 98503, 3, 92, 90, 88, 2, 0, 0.20927220927220927
1800-2400, 98012, 105807, 15, 78, 74, 70, 5, 0, 0.3248136315228967
1800-2400, 99621, 117050, 9, 80, 75, 68, 10, 0, 0.7010598503740648
2400-3000, 117406, 132802, 14, 83, 73, 71, 8, 0, 0.7089219330855019
3000-3600, 114776, 132342, 13, 72, 64, 61, 8, 0, 0.5947682423129876
2400-3000, 106386, 147644, 23, 93, 87, 68, 22, 0, 2.9966766367563973
3600-4200, 116026, 177872, 22, 82, 65, 54, 25, 0, 3.4419368075502668
3000-3600, 160941, 187248, 7, 106, 97, 89, 29, 0, 3.705679322246627
4200-4800, 131730, 176689, 20, 81, 66, 60, 17, 0, 2.1903225806451614
3600-4200, 133155, 208925, 23, 94, 84, 58, 32, 0, 5.758353851565248
4800-5400, 156039, 264033, 20, 105, 83, 63, 39, 0, 6.0874439461883405
5400-6000, 167694, 294619, 29, 114, 91, 62, 47, 0, 9.195945945945946
6000-6600, 177308, 716921, 31, 250, 211, 66, 181, 0, 61.39432176656151
6600-7200, 193826, 326361, 35, 113, 78, 67, 40, 0, 5.38833746898263
7200-7800, 251704, 560618, 33, 173, 129, 76, 92, 0, 22.71285753957234
7800-8400, 239406, 479078, 31, 149, 120, 74, 71, 0, 14.31048805815161
4200-4800, 124239, 206031, 23, 101, 81, 62, 36, 0, 4.837545126353791
4800-5400, 213974, 290442, 18, 121, 91, 89, 52, 0, 7.988975356679637
5400-6000, 153763, 325488, 36, 123, 105, 61, 59, 0, 12.552299829642248
6000-6600, 182645, 254633, 34, 90, 65, 64, 22, 0, 2.450143815915628
6600-7200, 236831, 456120, 32, 157, 116, 81, 73, 0, 16.55116696588869
7200-7800, 210868, 373011, 31, 116, 83, 64, 48, 0, 7.831354891526812
7800-8400, 307837, 573754, 37, 181, 139, 103, 87, 0, 17.376208614122472
