Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91370, 91370, 1, 163, None, 162, 1, 0, 0.06433435078656961
600-1200, 91322, 92556, 2, 141, 140, 138, 2, 0, 0.11341463414634147
1200-1800, 94333, 98443, 9, 91, 88, 87, 2, 0, 0.1591574019894675
1800-2400, 100890, 109982, 8, 70, 66, 63, 6, 0, 0.35846030473135526
2400-3000, 110567, 141773, 11, 86, 80, 69, 14, 0, 1.3432475884244373
3000-3600, 134055, 151476, 11, 78, 71, 68, 9, 0, 0.6470588235294118
3600-4200, 184620, 212790, 12, 106, 97, 92, 36, 0, 4.468280467445743
4200-4800, 160339, 213320, 14, 89, 76, 64, 22, 0, 2.4642857142857144
4800-5400, 170045, 228100, 20, 98, 75, 70, 24, 0, 2.863874345549738
5400-6000, 235525, 389748, 21, 145, 126, 88, 53, 0, 9.858936484490398
6000-6600, 222095, 474731, 20, 173, 121, 82, 85, 0, 20.98815789473684
6600-7200, 227790, 346677, 22, 111, 81, 75, 33, 0, 4.569383259911894
7200-7800, 271548, 452012, 19, 152, 108, 95, 52, 0, 8.509243697478992
7800-8400, 333318, 765176, 20, 233, 172, 107, 122, 0, 25.58942839582053
