Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90767, 90862, 1, 170, None, 168, 1, 0, 0.10766423357664233
600-1200, 93063, 95013, 2, 132, 130, 127, 3, 0, 0.12427745664739884
1200-1800, 97304, 100519, 6, 98, 96, 94, 2, 0, 0.20496323529411764
1800-2400, 127275, 132821, 6, 103, 97, 96, 10, 0, 0.9695121951219512
2400-3000, 112525, 124635, 11, 83, 78, 75, 5, 0, 0.4537177541729894
3000-3600, 121209, 150815, 15, 96, 83, 78, 13, 0, 1.0731707317073171
3600-4200, 141020, 164036, 15, 92, 75, 73, 12, 0, 0.9382940108892922
4200-4800, 168672, 210343, 14, 105, 90, 81, 22, 0, 2.6057046979865772
4800-5400, 196367, 312737, 15, 153, 127, 99, 51, 0, 7.056527590847914
5400-6000, 220041, 341030, 14, 154, 130, 101, 50, 0, 7.975510204081632
6000-6600, 285189, 432935, 17, 170, 139, 111, 57, 0, 10.88816644993498
6600-7200, 301229, 423967, 15, 182, 148, 130, 47, 0, 6.209969788519637
7200-7800, 331966, 548595, 12, 211, 182, 130, 78, 0, 15.606060606060606
7800-8400, 464006, 719057, 15, 268, 197, 174, 91, 0, 16.63053613053613
