Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90256, 90951, 3, 185, 184, 183, 2, 0, 0.19899709685932965
600-1200, 91305, 92706, 2, 166, 164, 162, 2, 0, 0.24289693593314762
1200-1800, 95564, 99809, 11, 103, 100, 96, 3, 0, 0.2705958971019212
1800-2400, 113591, 119143, 12, 99, 94, 92, 7, 0, 0.5474315710536183
2400-3000, 112230, 123450, 18, 89, 80, 78, 7, 0, 0.7188528443817583
3000-3600, 111652, 136190, 21, 85, 75, 68, 13, 0, 0.8976793248945147
3600-4200, 125510, 170452, 25, 96, 84, 72, 20, 0, 2.853683148335015
4200-4800, 137385, 177726, 22, 93, 78, 71, 20, 0, 2.026666666666667
4800-5400, 155295, 243321, 27, 112, 89, 75, 33, 0, 4.551944854751354
5400-6000, 224531, 317720, 23, 149, 122, 103, 69, 0, 12.302459016393442
6000-6600, 184226, 355290, 19, 163, 127, 86, 72, 0, 15.441784989858013
6600-7200, 237250, 396348, 32, 155, 120, 89, 61, 0, 12.176369124622683
7200-7800, 241238, 348087, 31, 142, 106, 99, 38, 0, 4.911075612353567
7800-8400, 328216, 550236, 33, 214, 159, 132, 79, 0, 13.849106803496769
