Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90640, 90640, 1, 159, None, 158, 1, 0, 0.04563986409966025
600-1200, 92681, 93898, 2, 123, 122, 120, 1, 0, 0.08559393428812131
1200-1800, 99796, 103336, 4, 82, 78, 77, 3, 0, 0.17234848484848486
1800-2400, 97815, 137529, 8, 86, 81, 62, 21, 0, 2.6074923119932905
2400-3000, 219763, 230661, 11, 113, 108, 106, 22, 0, 3.612985212569316
3000-3600, 111120, 134658, 17, 59, 50, 48, 8, 0, 0.6699810606060606
3600-4200, 121999, 175806, 11, 68, 52, 47, 18, 0, 2.1714162348877375
4200-4800, 130955, 180443, 16, 65, 49, 45, 17, 0, 1.674800796812749
4800-5400, 153077, 240272, 25, 82, 70, 49, 30, 0, 3.526750761200522
5400-6000, 231076, 329884, 21, 100, 83, 69, 26, 0, 4.7621929512281955
6000-6600, 224425, 356228, 21, 100, 75, 62, 35, 0, 6.645663454410674
6600-7200, 209608, 446618, 24, 115, 86, 55, 56, 0, 12.263140604467806
7200-7800, 261067, 396895, 26, 107, 83, 73, 31, 0, 4.8421677215189876
7800-8400, 304866, 847291, 32, 208, 183, 78, 126, 0, 37.76339567135953
