Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91319, 91319, 1, 174, None, 173, 1, 0, 0.13154997798326729
600-1200, 93026, 93865, 4, 128, 127, 126, 1, 0, 0.11290871934604904
1200-1800, 93637, 97318, 10, 95, 92, 91, 2, 0, 0.2803614137656125
1800-2400, 100334, 107691, 11, 88, 83, 81, 5, 0, 0.30524220305242206
2400-3000, 123754, 136670, 22, 84, 79, 75, 12, 0, 0.8722261989978526
3000-3600, 136264, 207760, 14, 111, 96, 70, 39, 0, 6.976197223009351
3600-4200, 124781, 234307, 21, 109, 97, 59, 46, 0, 7.44576802507837
4200-4800, 134285, 335249, 18, 145, 117, 59, 83, 0, 23.394644644644643
4800-5400, 141304, 274813, 18, 106, 89, 57, 46, 0, 9.319281524926685
5400-6000, 204176, 330056, 27, 125, 102, 73, 54, 0, 10.446122860020141
6000-6600, 212177, 290089, 26, 104, 79, 76, 25, 0, 3.9686573485811096
6600-7200, 216611, 649119, 34, 213, 184, 73, 137, 0, 34.56622165713075
7200-7800, 282774, 440880, 36, 148, 115, 96, 49, 0, 8.712305025996534
7800-8400, 326551, 504286, 37, 152, 121, 100, 66, 0, 12.051068090787718
